HUD CoC Number,2019,2020,2021
AK-500,0.6388,0.314,0.595
AK-501,0.4622,0.4098,0.4888
AL-500,0.2179,0.3111,0.0659
AL-501,0.0321,0.1787,0.017
AL-502,,0.1849,0.0191
AL-503,0.6585,0.8128,0.3988
AL-504,0.0838,0.1467,0.0355
AL-505,,,0.0491
AL-506,0.3309,0.0455,0.1361
AL-507,0,0.3089,0.0199
AR-500,0.3238,0.2135,0.4208
AR-501,0.2132,0.192,0.1824
AR-503,0.239,0.044,0.1396
AR-505,0.2636,0.5723,0.169
AR-508,0.7317,0.3364,0.7514
AZ-500,0.1175,0.2015,0.0673
AZ-501,0.1534,0.2931,0.0584
AZ-502,0.1999,0.0482,0.1734
CA-500,0.3563,0.042,0.3193
CA-501,0.4644,0.1126,0.404
CA-502,0.0725,0.4862,0.0284
CA-503,0.2618,0.6404,0.3009
CA-504,0.07,0.0144,0.0212
CA-505,0.5693,0.1525,0.5467
CA-506,0.0169,0.1243,0.0192
CA-507,0.2342,0.0761,0.3926
CA-508,0.11,0.0495,0.1242
CA-509,0.4134,0.175,0.0744
CA-510,0.4175,0,0.4077
CA-511,0.8866,0.5354,0.8193
CA-512,0.1266,0.0755,0.1914
CA-513,0.1411,0.8385,0.1528
CA-514,0.0403,0.3307,0.0642
CA-515,0.0256,0.0612,0.0332
CA-516,0.1456,0.0641,0.2188
CA-517,0.1953,0.4212,0.4858
CA-518,0.101,0.218,0.1742
CA-519,0.1685,0.0595,0.0742
CA-520,0.0466,0.2597,0.0567
CA-521,0.2311,0.1587,0.2201
CA-522,0.2278,0.4785,0.1624
CA-523,0.1208,0.063,0.1852
CA-524,0.0563,0.2071,0
CA-525,0.3164,0.0653,0.2318
CA-526,0.0249,0.4083,0.0219
CA-527,0.0027,0.4926,0
CA-529,,0.2802,0.0217
CA-530,0,0.208,0.0901
CA-531,0,0.2559,0.0304
CA-600,0.5011,0.0894,0.4777
CA-601,0.1065,0.0624,0.3779
CA-602,0.3953,0.0522,0.3632
CA-603,0.0028,0.3806,0.0137
CA-604,0.2521,0.1234,0.2726
CA-606,0.1893,0.2372,0.4092
CA-607,0.0865,0.0513,0.1152
CA-608,0.1658,0.118,0.0552
CA-609,0.0076,0.0487,0.0489
CA-611,0.0433,0.0735,0.0469
CA-612,0.0065,0.1233,0.0349
CA-613,0.0279,0.4292,0.4206
CA-614,0.5349,0.1952,0.3626
CO-500,0.4631,0.3979,0.344
CO-503,0.4237,0.3355,0.4302
CO-504,0.651,0.2623,0.5673
CO-505,0.0418,0.0057,0.2715
CT-503,0.0899,0.3851,0.1252
CT-505,0.1059,0,0.1361
DC-500,0.0985,0.0272,0.0906
DE-500,0.1551,0.4113,0.046
FL-500,0.0882,0.6019,0.0638
FL-501,0.195,0.1966,0.1279
FL-502,0.4063,0.0855,0.3761
FL-503,0.0396,0.189,0.0391
FL-504,0.2507,0.1549,0.026
FL-505,0.2803,0.3333,0.0769
FL-506,0.5008,0.0683,0.3317
FL-507,0.0938,0.3111,0.0665
FL-508,0.0067,0.0767,0
