HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
AK-500,55,68,65,75,83,77,72
AK-501,77,76,67,63,68,72,70
AL-500,76,74,67,70,74,106,106
AL-501,44,51,47,51,65,69,58
AL-502,,0,0,0,0,70,50
AL-503,93,161,115,80,61,74,70
AL-504,110,104,97,112,135,108,150
AL-505,98,129,,,,,162
AL-506,182,65,248,477,124,111,127
AL-507,166,280,310,297,506,256,67
AR-500,72,73,71,72,113,150,61
AR-501,44,58,102,249,359,583,110
AR-503,61,64,57,82,136,317,154
AR-505,28,46,52,,61,65,55
AR-508,33,38,71,,"1,355","1,781",60
AR-512,141,81,0,,,,
AZ-500,106,79,69,58,65,72,77
AZ-501,110,103,89,98,98,85,101
AZ-502,99,101,97,101,95,103,102
CA-500,94,139,145,106,120,110,164
CA-501,316,384,455,404,182,149,275
CA-502,170,186,170,208,196,204,227
CA-503,130,125,118,131,144,150,166
CA-504,133,121,112,142,139,134,129
CA-505,159,154,135,114,100,109,234
CA-506,191,199,194,184,178,230,210
CA-507,253,447,186,211,255,184,194
CA-508,162,188,205,173,147,169,221
CA-509,76,112,112,63,78,93,136
CA-510,79,69,88,57,59,82,95
CA-511,103,129,53,50,51,59,63
CA-512,89,95,98,97,105,129,166
CA-513,98,111,73,80,112,62,100
CA-514,137,100,78,64,76,89,123
CA-515,80,106,115,164,176,189,174
CA-516,787,"1,009",890,284,187,146,221
CA-517,97,129,129,159,168,136,162
CA-518,191,120,142,249,170,98,136
CA-519,83,95,86,117,119,147,169
CA-520,58,54,63,67,54,59,40
CA-521,88,102,109,132,126,106,151
CA-522,111,125,142,131,114,108,159
CA-523,683,876,0,390,457,635,123
CA-524,128,227,163,90,110,101,119
CA-525,258,283,138,122,256,267,380
CA-526,87,82,74,101,104,144,176
CA-527,94,32,35,40,48,43,95
CA-529,,0,,,,279,61
CA-530,287,81,16,34,38,47,103
CA-531,,,115,116,151,185,176
CA-600,121,139,388,342,411,251,316
CA-601,148,150,146,139,155,151,153
CA-602,118,109,117,93,107,128,178
CA-603,119,126,116,117,100,117,99
CA-604,108,131,116,398,115,116,97
CA-606,119,127,110,125,138,141,153
CA-607,88,93,103,104,121,140,177
CA-608,80,72,72,57,55,65,92
CA-609,66,69,82,57,70,80,119
CA-611,90,94,99,130,106,136,225
CA-612,148,141,149,168,160,158,103
CA-613,74,41,73,76,71,59,67
CA-614,122,138,78,84,62,67,103
CO-500,144,166,159,191,145,141,128
