HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
AK-500,0.778,0.886,0.873,0.956,0.89,0.79,0.915
AK-501,0.743,0.789,0.895,0.922,0.91,0.905,0.954
AL-500,0.854,0.86,0.795,0.81,0.798,0.798,0.771
AL-501,0.809,0.908,0.767,0.893,0.936,1,1
AL-502,,0,0,0,0,0,0
AL-503,0.319,0.367,0.241,0.258,0.372,0.381,0.345
AL-504,0.958,0.958,0.954,1,1,1,1
AL-505,0.877,0.91,,,,,1
AL-506,0.341,0.36,0.674,0.933,1,1,1
AL-507,0.021,0.114,0.078,0.077,0.378,0.699,0.596
AR-500,0.63,0.671,0.61,0.532,0.619,0.473,0.482
AR-501,0.616,0.572,0.598,0.419,0.814,0.894,0.843
AR-503,0.656,0.656,0.555,0.638,0.677,0.628,0.849
AR-505,0,0,0,,0,,0.343
AR-508,0,0,0,,0,,0.803
AR-512,,0,,,,,
AZ-500,0.885,0.766,0.854,0.863,0.872,0.875,0.888
AZ-501,0.986,0.978,0.968,0.977,1,1,1
AZ-502,0.828,0.912,0.944,0.771,0.844,0.849,0.863
CA-500,0.969,0.97,1,1,1,1,1
CA-501,0.756,0.793,0.712,0.765,0.577,0.751,0.826
CA-502,0.82,0.853,0.833,0.812,0.885,0.807,0.885
CA-503,0.851,0.855,0.87,0.827,0.883,0.912,0.929
CA-504,0.756,0.864,0.923,0.826,0.855,0.754,0.868
CA-505,0.569,0.908,0.601,0.584,1,0.819,0.882
CA-506,0.805,0.713,0.716,0.733,0.756,0.813,0.836
CA-507,0.944,0.944,0.871,0.901,1,1,1
CA-508,0.904,0.903,0.86,0.835,0.817,0.892,0.963
CA-509,0.67,0.139,1,0.74,0.32,0.577,0.849
CA-510,0.954,0.762,1,0.928,0.935,0.87,0.891
CA-511,0.92,0.914,0.744,0.932,0.935,0.943,0.947
CA-512,0.858,0.982,0.983,0.984,1,0.989,0.991
CA-513,0.84,0.905,0.903,0.891,1,0.902,0.982
CA-514,0.653,0.518,0.556,0.434,0.47,0.416,0.513
CA-515,0.798,0.791,0.812,0.988,0.944,0.959,0.982
CA-516,0.133,0.172,0.033,0.117,0,0.235,0.305
CA-517,0.817,0.833,0.917,0.921,0.921,0.907,0.935
CA-518,0.69,0.863,0.754,0.885,0.646,0.592,0.818
CA-519,0.882,0.923,0.981,0.917,0.798,0.8,0.92
CA-520,0.491,0.662,0.706,0.414,0.647,0.728,0.899
CA-521,0.848,0.634,0.318,0.681,0.682,0.933,0.947
CA-522,0.95,1,0.628,0.567,0.47,0.446,0.607
CA-523,0,0,0,0.897,0,0.857,0.915
CA-524,0,0,0.413,0.356,0.751,1,0.972
CA-525,1,0.989,0.715,0.551,0.76,0.374,0.679
CA-526,0.82,1,1,1,0.728,1,1
CA-527,0.164,1,0.941,1,1,1,1
CA-529,0.632,0.462,,,,0.333,1
CA-530,,,,,1,1,1
CA-531,,,1,0.818,0.869,1,1
CA-600,0.563,0.578,0.369,0.535,0.615,0.672,0.687
CA-601,0.928,0.975,0.995,1,0.923,0.877,0.915
CA-602,0.747,0.715,0.549,0.515,0.728,0.748,0.855
CA-603,0.754,0.746,0.739,0.783,0.838,0.689,0.699
CA-604,0.988,1,1,0.998,0.983,0.663,0.992
CA-606,0.685,0.696,0.715,0.663,0.654,0.716,0.808
CA-607,0.738,0.961,1,1,1,1,1
CA-608,0.903,0.956,0.97,0.974,0.933,1,0.988
CA-609,0.749,1,1,0.767,0.843,0.83,0.833
CA-611,0.588,0.417,0.64,0.751,0.69,0.53,0.576
CA-612,1,1,0.851,0.872,1,0.596,1
CA-613,1,0.827,0.714,0.714,0.383,0.488,0.661
CA-614,0.359,0.93,0.75,0.885,0.305,0.8,1
CA-615,,,,,,,
CO-500,0.484,0.496,0.45,0.586,0.511,0.334,0.32
CO-503,0.804,0.63,0.427,0.457,0.427,0.584,0.716
CO-504,0.881,0.935,0.97,0.956,0.819,0.798,0.78
CO-505,,,,0.352,0.239,0.378,0.765
CT-502,,,,,,,
CT-503,0.808,0.8,0.928,0.931,0.927,0.946,1
CT-505,0.943,0.974,0.974,0.982,0.977,0.97,0.979
DC-500,0.97,0.968,0.952,0.941,0.936,0.948,0.949
DE-500,0.58,0.663,0.608,0.57,0.516,0.562,0.639
FL-500,0.87,0.834,0.989,1,1,0.982,0.969
FL-501,0.875,0.951,0.956,0.803,0.948,0.954,0.951
FL-502,0.936,0.976,0.982,0.97,0.967,0.972,0.871
FL-503,0.707,0.777,0.771,0.79,0.786,0.716,0.726
FL-504,0.857,0.932,0.987,0.985,1,1,1
FL-505,0.774,1,1,1,1,0.727,0.838
FL-506,0.953,0.869,0.766,0.94,0.694,0.895,1
FL-507,0.907,0.899,0.817,0.759,0.769,0.757,0.773
FL-508,0.747,1,1,1,1,1,1
FL-509,1,0.945,0.925,0.955,0.951,0.866,0.949
FL-510,0.377,0.469,0.47,0.535,0.526,0.685,0.731
FL-511,0.737,0.764,0.82,0.809,0.821,0.594,0.61
FL-512,0.764,0.914,1,1,1,1,1
FL-513,0.821,0.819,0.785,0.847,0.959,0.9,0.881
FL-514,1,1,1,0.923,0.955,1,0.924
FL-515,0.832,0.784,0.922,1,1,1,1
FL-517,0.496,0.433,1,0.861,1,1,1
FL-518,1,1,1,1,1,1,1
FL-519,1,1,1,0.8,1,1,1
FL-520,1,1,0.972,0.973,0.755,0.756,0.76
FL-600,0.864,0.925,0.974,0.991,1,1,1
FL-601,0.797,0.797,0.744,0.806,0.797,0.878,0.949
FL-602,1,1,1,1,1,1,1
FL-603,0.807,0.883,0.872,0.872,0.841,0.842,0.854
FL-604,1,1,0.899,0.387,0.894,0.864,0.864
FL-605,0.952,0.98,1,1,1,0.977,1
FL-606,0.479,0.038,0.034,0.114,0.103,0.721,0.741
GA-500,0.735,0.662,0.5,0.542,0.865,0.86,0.938
GA-501,0.793,0.808,0.7,0.596,0.651,0.687,0.724
GA-502,0.043,0.043,0.852,0.986,1,0.806,1
GA-503,1,1,1,1,0.896,0.696,0.773
GA-504,0.967,1,0.785,0.814,0.728,0.648,0.735
GA-505,0.516,0.363,0.536,0.514,0.611,0.597,0.682
GA-506,0.919,0.898,0.909,0.893,0.873,0.871,0.91
GA-507,0.607,0.632,0.58,0.42,0.449,0.445,0.445
GA-508,0.83,0.769,0.85,0.731,1,0.867,0.786
GU-500,0.703,0.952,0.943,0.947,0.947,0.947,0.978
HI-500,1,1,1,1,0.96,1,1
HI-501,0.941,1,0.992,0.991,0.98,0.978,1
IA-500,0.5,0.467,0.4,0.744,0.366,0.399,0.399
IA-501,0.728,0.872,0.87,0.828,0.739,0.712,0.728
IA-502,0.643,0.825,0.938,1,1,1,1
ID-500,0.399,0.339,0.333,0.365,0.333,1,1
ID-501,0.724,0.721,0.712,0.529,0.453,0.477,0.526
IL-500,0.943,0.983,1,1,1,1,1
IL-501,0.599,0.472,,0.813,0.819,1,0.933
IL-502,0.732,0.961,1,1,1,1,1
IL-503,0.957,0.928,0.903,0.811,0.769,0.898,0.398
IL-504,0.896,0.896,1,1,1,0.756,0.696
IL-506,1,0.947,0.87,1,1,0.969,0.924
IL-507,0.657,0.734,0.639,0.776,0.667,0.666,0.624
IL-508,0.976,0.958,1,0.974,0.855,0.977,0.975
IL-509,1,1,,,,,
IL-510,0.793,0.953,0.985,0.95,0.964,0.96,0.956
IL-511,0.953,0.988,1,1,1,1,1
IL-512,0.91,0.791,0.844,0.75,0.746,0.578,0.535
IL-513,0.993,0.992,0.857,0.854,0.989,0.986,0.982
IL-514,1,1,1,0.989,1,1,1
IL-515,0.802,0.634,0.471,0.381,1,0.914,1
IL-516,0.426,0.447,0.661,0.976,0.973,0.947,0.962
IL-517,1,1,1,1,1,1,1
IL-518,0.632,0.573,0.542,0.441,0.624,0.88,0.727
IL-519,0.35,0.425,0.916,1,1,0.857,0.726
IL-520,0.571,0.587,0.693,0.838,0.875,0.845,0.739
IN-500,1,,,,,,
IN-502,0.641,0.652,0.62,0.632,0.593,0.631,0.751
IN-503,0.492,0.501,0.58,0.851,0.923,0.912,0.927
KS-502,0.863,0.906,0.97,0.954,0.914,0.713,0.734
KS-503,0.796,0.635,0.217,0.095,0,0.101,0.918
KS-505,1,1,1,0.978,1,0.955,0.857
KS-507,0.612,0.651,0.411,0.394,0.393,0.351,0.218
KY-500,0.669,0.621,0.521,0.506,0.477,0.558,0.714
KY-501,1,0.994,0.995,0.942,0.946,0.948,0.969
KY-502,0.617,0.852,0.842,0.695,0.686,0.719,0.81
LA-500,0.987,0.986,1,1,1,1,0.99
LA-502,0.755,0.968,0.781,0.813,1,1,1
LA-503,0.919,0.914,0.969,0.868,0.819,0.988,0.98
LA-505,0.354,0.335,0.193,0.454,0.891,0.378,0.443
LA-506,0.376,0.411,0.558,0.896,0.951,0.816,0.938
LA-507,0.587,0.496,0.522,0.456,0.667,0.542,1
LA-508,0.789,,,,,,
LA-509,0.652,0.732,0.786,0.665,0.851,0.742,0.919
MA-500,0.879,0.88,0.975,0.987,0.989,0.989,0.986
MA-502,0.925,0.925,0.926,0.961,0.976,1,1
MA-503,1,0.927,1,0.926,1,1,0.981
MA-504,0.927,0.945,0.972,0.973,0.972,0.98,0.996
MA-505,1,0.894,0.971,0.944,0.867,0.975,0.974
MA-506,0.974,0.975,0.963,0.94,0.975,0.979,0.981
MA-507,0.973,1,0.973,0.852,1,1,0.951
MA-508,0.905,0.908,0.936,,,,
MA-509,0.848,0.868,0.912,0.904,0.928,1,1
MA-510,0.951,0.998,0.997,0.971,,,
MA-511,0.988,0.986,1,1,1,1,1
MA-515,0.902,0.894,0.915,0.785,0.91,0.907,0.896
MA-516,0.869,0.909,0.905,0.849,0.896,0.919,0.97
MA-517,1,1,1,,,,
MA-519,0.86,0.86,0.859,0.817,0.869,0.887,0.887
MD-500,0.802,0.802,0.771,0.771,0.771,,
MD-501,0.701,0.704,0.684,0.681,0.704,0.702,0.71
MD-502,0.901,1,1,1,1,0.954,
MD-503,1,1,1,1,1,1,1
MD-504,1,0.817,1,1,1,1,1
MD-505,1,1,1,1,1,1,1
MD-506,1,1,0.938,1,0.874,0.987,1
MD-507,0.569,1,1,1,1,,
MD-508,1,1,1,0.974,1,,
MD-509,1,1,1,1,1,1,1
MD-510,1,1,1,1,1,,
MD-511,0.926,1,1,1,1,1,1
MD-512,0.51,0.753,0.69,0.72,0.773,,
MD-513,1,1,1,1,1,1,0.993
MD-514,,,,,,,0.778
MD-600,0.736,1,1,1,1,1,1
MD-601,1,1,1,1,1,1,1
ME-500,0.92,0.891,0.906,0.924,0.908,0.92,0.935
MI-500,0.826,0.758,0.734,0.71,0.715,0.726,0.789
MI-501,0.943,0.99,0.971,1,1,1,1
MI-502,1,1,1,0.96,0.991,0.975,1
MI-503,0.781,0.764,0.984,0.988,0.94,0.947,
MI-504,0.965,0.988,1,1,1,1,0.883
MI-505,1,0.95,0.949,0.971,1,0.946,0.894
MI-506,1,1,1,0.921,0.913,0.941,0.974
MI-507,1,1,0.622,0.594,1,1,1
MI-508,0.799,0.748,1,1,1,1,1
MI-509,0.954,0.954,0.945,0.946,1,0.709,1
MI-510,1,1,1,1,1,1,1
MI-511,0.647,0.69,0.638,0.66,0.852,0.916,0.927
MI-512,1,0.843,0.818,0.797,1,0.888,0.906
MI-513,0.586,0.917,0.941,,,,
MI-514,0.786,0.779,0.781,0.754,1,1,1
MI-515,1,0.813,0.807,0.85,0.838,1,1
MI-516,1,0.919,1,1,1,1,1
MI-517,1,1,1,1,0.918,1,0.444
