HUD CoC Number,2019,2020,2021
AK-500,0.767,0.382,0.832
AK-501,0.596,0.28,0.611
AL-500,0.28,0.155,0.09
AL-501,0.02,0.2,0.016
AL-502,,0.166,0.042
AL-503,0.749,0.884,0.442
AL-504,0.069,0.036,0.04
AL-505,,,0.046
AL-506,0.371,0.092,0.041
AL-507,,0.398,0.044
AR-500,0.396,0.382,0.373
AR-501,0.328,0.28,0.184
AR-503,0.239,0.084,0.228
AR-505,0.406,0.483,0.667
AR-508,0.785,0.197,0.812
AZ-500,0.191,0.571,0.096
AZ-501,0.11,0.402,0.017
AZ-502,0.327,0.033,0.336
CA-500,0.51,0.011,0.297
CA-501,0.226,0.085,0.37
CA-502,0.063,0.622,0.037
CA-503,0.241,0.733,0.225
CA-504,0.066,0.006,0.018
CA-505,0.536,0.245,0.192
CA-506,0.01,0.167,0.004
CA-507,0.328,0.076,0.179
CA-508,0.095,0.051,0.113
CA-509,0.475,0.259,0.069
CA-510,0.436,0,0.445
CA-511,0.977,0.47,0.878
CA-512,0.11,0.049,0.02
CA-513,0.182,0.953,0.174
CA-514,0.055,0.531,0.145
CA-515,0.03,0.061,0.021
CA-516,0.483,0.103,0.18
CA-517,0.028,0.501,0.667
CA-518,0.3,0.25,0.228
CA-519,0.245,0.056,0.067
CA-520,0.089,0.343,0
CA-521,0.202,0.151,0.143
CA-522,0.089,0.648,0.076
CA-523,,0.067,0.156
CA-524,0.018,0.208,0
CA-525,0.346,0.096,0.032
CA-526,0.035,0.597,0.022
CA-527,0,0.709,0
CA-529,,0.492,0
CA-530,0,0.341,0
CA-531,0,0.386,0.017
CA-600,0.6,0.094,0.299
CA-601,0.077,0.101,0.278
CA-602,0.491,0.046,0.25
CA-603,0.001,0.553,0.004
CA-604,0.425,0.046,0.518
CA-606,0.341,0.267,0.675
CA-607,0.067,0.013,0.067
CA-608,0.118,0.158,0.057
CA-609,0.018,0.025,0.024
CA-611,0.043,0.046,0.084
CA-612,0,0.043,0.028
CA-613,0.014,0.549,0.053
CA-614,0.83,0.28,0.524
CO-500,0.517,0.493,0.416
CO-503,0.574,0.41,0.499
CO-504,0.806,0.579,0.723
CO-505,0.015,0.005,0.327
CT-503,0.087,0.677,0.186
CT-505,0.131,,0.192
DC-500,0.116,0,0.111
DE-500,0.254,0.365,0.067
FL-500,0.092,0.753,0.057
FL-501,0.302,0.253,0.192
FL-502,0.507,0.08,0.573
FL-503,0.023,0.274,0.027
FL-504,0.002,0.179,0.015
FL-505,0.178,0.377,0.081
FL-506,0.676,0.11,0.432
FL-507,0.113,0.385,0.072
FL-508,0.001,0.181,0
FL-509,0.069,0.005,0.096
FL-510,0.117,4.017,0.545
FL-511,0.201,0.389,0.318
FL-512,0,0.349,0
FL-513,0.013,0.065,0.002
FL-514,0.008,0.371,0.122
FL-515,0.044,0.03,0.063
FL-517,0.161,0.406,0.75
FL-518,0,0.056,0.187
FL-519,0,0.013,0.062
FL-520,0.361,0.082,0.217
FL-600,0.231,0.205,0.017
FL-601,0.183,0.21,0.336
FL-602,0,0.114,0.008
FL-603,0.191,0.114,0.089
FL-604,0.439,0.009,0.626
FL-605,0.12,0.003,0.05
FL-606,,0.562,0
GA-500,0.374,0.144,0.359
GA-501,0.02,0.638,0.072
GA-502,0.083,0.508,0.185
GA-503,0.288,0.375,0.018
GA-504,0.016,0.703,0.003
GA-505,0.017,0.277,0.067
GA-506,0.01,0.005,0.221
GA-507,0.02,0.659,0.072
GA-508,0.212,0.414,0.14
GU-500,0,0.319,0.09
HI-500,0.25,0.555,0.05
HI-501,0.164,0.282,0.1
IA-500,0,0.12,0.696
IA-501,0.162,0.155,0.213
IA-502,0.522,0.421,0.44
ID-500,0.851,0.953,0.916
ID-501,0.173,0.156,0.188
IL-500,0.053,0.341,0.119
IL-501,0.022,0.112,0.076
IL-502,0.175,0.295,0.166
IL-503,0.704,0.447,0.721
IL-504,0.019,0.009,0.297
IL-506,0.014,0.01,0.018
IL-507,0.261,0.293,0.23
IL-508,0.394,0.085,0.027
IL-510,0.506,0.482,0.42
IL-511,0.528,0.53,0.166
IL-512,0.284,0.154,0.33
IL-513,0.563,0.455,0.143
IL-514,0.578,0.512,0.106
IL-515,0.053,0.061,0.153
IL-516,0.379,0.466,0.552
IL-517,0.272,0.357,0.235
IL-518,0.125,0.161,0.135
IL-519,0.34,0.274,0.358
IL-520,0.138,0.016,0.139
IN-502,0.372,0.378,0.337
IN-503,0.403,0.455,0.514
KS-502,0.374,0.05,0.052
KS-503,,0.496,0.995
KS-505,0.048,0,0.024
KS-507,0.323,0.103,0.167
KY-500,0.006,0.006,0.006
KY-501,0.689,0.617,0.527
KY-502,0.145,0.513,0.409
LA-500,0.024,0.028,0.089
LA-502,0.31,0.38,0.187
LA-503,0.331,0.276,0.142
LA-505,0,0,0
LA-506,0,0,0
LA-507,0.007,0.089,0.006
LA-509,0.06,0.017,0.031
MA-500,0.507,0.288,0.255
MA-502,0.074,0.046,0.171
MA-503,0.209,0.429,0.149
MA-504,0.354,0.25,0.236
MA-505,0.008,0.038,0.143
MA-506,0.401,0.343,0.229
MA-507,0.081,0.025,0.275
MA-509,0.595,0.648,0.341
MA-510,0.06,,
MA-511,0.289,0.073,0.082
MA-515,0.086,0.057,0.133
MA-516,0.113,0.082,0.163
MA-519,0.044,0.162,0
MD-501,0.572,0.478,0.529
MD-502,0.151,0.059,
MD-503,0.244,0.061,0.1
MD-504,0.077,0.054,0.197
MD-505,,0.022,0.01
MD-506,0.174,0.199,0.269
MD-508,0.077,,
MD-509,0.139,0.204,0.335
MD-510,0,,
MD-511,0.248,0.053,0.124
MD-512,0.177,,
MD-513,0,0.001,0
MD-514,,0.041,0.021
MD-600,0,0.001,0.006
MD-601,0.112,0.185,0.003
ME-500,0.044,0.035,0.039
MI-500,0.068,0.087,0.159
MI-501,0.009,0.013,0.021
MI-502,0,0,0.005
MI-503,0,0.001,
MI-504,0.098,0.109,0.057
MI-505,0,0.024,0.059
MI-506,0.549,0.614,0.52
MI-507,0.614,0.671,0.623
MI-508,0.23,0.248,0.374
MI-509,0.214,0.089,0.265
MI-510,0.009,0.036,0.038
MI-511,0,0,0
MI-512,0,0.009,0.002
MI-513,0.2,,
MI-514,0.002,0,0.037
MI-515,0,0,0
MI-516,0.159,0.014,0.018
MI-517,0.228,0.292,0.232
MI-518,0.033,0.101,0.103
MI-519,0.175,0.266,0.338
MI-523,0.011,0.026,0.028
MN-500,0.381,0.597,0.572
MN-501,0.746,0.711,0.515
MN-502,0.188,0.462,0.519
MN-503,0.44,0.372,0.219
MN-504,0.063,0.082,0.04
MN-505,0.284,0.386,0.423
MN-506,0.101,0.094,0.082
MN-508,0.281,0.37,0.369
MN-509,0.614,0.598,0.557
MN-511,0.043,0.105,0.092
MO-500,0.057,0.048,0.03
MO-501,0.169,0.566,0.258
MO-503,0.032,0.173,0.426
MO-600,0.19,0.256,0.155
MO-602,0,0.031,0.091
MO-603,0,0.158,0.081
MO-604M,0.118,0.089,0.355
MO-606,0.058,0.041,0.029
MS-500,0.809,0.786,0.625
MS-501,0.103,0.174,0.104
MS-503,,0,0.019
MT-500,0.87,0.719,0.628
NC-500,0.092,0.012,0.018
NC-501,0.11,0.067,0.086
NC-502,0.045,0.047,0.185
NC-503,0.255,0.142,0.172
NC-504,0.045,0.228,0.165
NC-505,0.491,0.558,0.459
NC-506,0.047,0.06,0.28
NC-507,0.166,0.118,0.146
NC-509,0.028,0.019,0.394
NC-511,0,0.015,0.365
NC-513,0.029,0.043,0.005
NC-516,0.157,0.114,0.042
ND-500,0.559,0.549,0.417
NE-500,0.229,0.28,0.228
NE-501,0.39,0.508,0.477
NE-502,0.567,0.41,0.357
NH-500,0.134,0.156,0.064
NH-501,0.767,0.671,0.675
NH-502,0.325,0.425,0.599
NJ-500,0.683,0.579,0.359
NJ-501,0.424,0.303,0.314
NJ-502,0,0,0
NJ-503,0.407,0.417,0.356
NJ-504,0.299,0.314,0.082
NJ-506,0.475,0.44,0.407
NJ-507,0.055,0.007,0.059
NJ-508,0.653,0.708,0.572
NJ-509,0.426,0.344,0.454
NJ-510,0.687,0.594,0.692
NJ-511,0.045,0.045,0.089
NJ-513,0.051,0.027,0.104
NJ-514,0.732,0.742,0.827
NJ-515,0.018,0.048,0.187
NJ-516,0.005,0,0.008
NM-500,0.026,0.025,0.06
NM-501,0.109,0.119,0.103
NV-500,0.564,0.372,0.531
NV-501,0.375,0.753,0.846
NV-502,0.251,0.253,0.296
NY-500,0.283,0.2,0.163
NY-501,0.011,0.087,0.049
NY-503,0.084,0.079,0.149
NY-504,0.251,,
NY-505,0.242,0.265,0.31
NY-507,0.214,0.141,0.343
NY-508,0.25,0.184,0.205
NY-510,0.463,0.375,0.401
NY-511,0.095,0.172,0.45
NY-512,0.251,0.119,0.541
NY-513,0.301,0.248,0.382
NY-514,0.412,0.3,0.612
NY-516,0.111,,
NY-518,0.138,0.128,0.032
NY-519,0.474,0.49,0.237
NY-520,0.15,0.198,0.132
NY-522,0.121,0.002,0
NY-523,0.178,0.489,0.195
NY-525,0.483,0.351,0.199
NY-600,0.339,0.35,0.351
NY-601,0.081,0.066,0.02
NY-602,0.026,0.026,0.046
NY-603,0.159,0.074,0.13
NY-604,0.626,0.641,0.587
NY-606,0.006,0.391,0.153
NY-607,0,,
NY-608,0.021,0.021,0.031
OH-500,0.376,0.358,0.321
OH-501,0.224,0.027,0.09
OH-502,0.427,0.406,0.471
OH-503,0.044,0.053,0.053
OH-504,0.061,0.012,0.065
OH-505,0.34,0.168,0.082
OH-506,0.561,0.061,0.58
OH-507,0.064,0.082,0.118
OH-508,0.015,0.016,0.036
OK-500,0.059,0.023,0.013
OK-501,0.975,0.886,0.753
OK-502,0.689,0.494,0.807
OK-503,,0,0.154
OK-504,0.989,0.92,0.497
OK-505,0,0.035,0.031
OK-506,0.5,,0.086
OK-507,0.053,0.058,0.032
OR-500,0.714,0.539,0.406
OR-501,0.551,0.524,0.503
OR-502,0.079,0.404,0.17
OR-503,0.391,0.351,0.387
OR-504,0.879,0.157,0.177
OR-505,0.03,0.245,0.094
OR-506,0.053,0.011,0.041
OR-507,0,0.013,0.307
PA-500,0.451,0.563,0.512
PA-501,0.271,0.082,0.1
PA-502,0.012,0.03,0.272
PA-503,0.034,0.167,0.252
PA-504,0.147,0.117,0.064
PA-505,0.143,0.062,0.013
PA-506,0.733,0.307,0.024
PA-508,0.545,0.429,0.51
PA-509,0.205,0.189,0.207
PA-510,0.141,0.162,0.081
PA-511,0.179,0.195,0.445
PA-512,0.233,0.207,0.088
PA-600,0.334,0.38,0.308
PA-601,0.122,0.067,0.158
PA-603,0.099,0.237,0.235
PA-605,0.113,0.221,0.221
PR-502,0.005,0.003,0
PR-503,0.037,0.03,0
RI-500,0.028,0.117,0.057
SC-500,0.48,0.308,0.152
SC-501,0,0,0.011
SC-502,0.347,0.403,0.45
SC-503,0.512,0.453,0.359
SD-500,0.007,0.108,0.362
TN-500,0.702,0.736,0.744
TN-501,0.027,0.072,0.272
TN-502,0.045,0.007,0.036
TN-503,0.159,0.093,0.186
TN-504,0.043,0.077,0.018
TN-506,0.924,0.772,0.578
TN-507,0,0.003,0
TN-509,0.017,0.116,0.108
TN-510,0.085,0.564,0.061
TN-512,0.103,0,0.006
TX-500,0.215,0.144,0.279
TX-503,0.493,0.349,0.404
TX-600,0.497,0.624,0.417
TX-601,0.499,0.508,0.384
TX-603,0.084,0.377,0.361
TX-604,0.378,0.447,0.561
TX-607,0.142,0.272,0.566
TX-611,0.986,0.847,0.763
TX-624,0.348,0.527,0.349
TX-700,0.463,0.27,0.125
TX-701,0.533,0.027,0.019
UT-500,0.742,0.707,0.653
UT-503,0.008,0.277,0.498
UT-504,0.019,0.005,0.133
VA-500,0.379,0.261,0.62
VA-501,0.777,0.696,0.416
VA-502,0.086,0.114,0.035
VA-503,0.441,0.584,0.012
VA-504,0.412,0.344,0.218
VA-505,0.707,0.361,0.506
VA-507,0.464,0.759,0.26
VA-508,0.476,0.449,0.18
VA-513,0.505,0.322,0.318
VA-514,0.253,0.235,0.219
VA-521,0.273,0.269,0.138
VA-600,0.054,0.077,0.018
VA-601,0.314,0.319,0.27
VA-602,0.149,0.279,0.19
VA-603,0.181,0.058,0.176
VA-604,0.012,0,0.035
VI-500,0.125,0.071,0
VT-500,0.091,0.154,0.13
VT-501,0.183,0.183,0.277
WA-500,0.541,0.562,0.404
WA-501,0.331,0.255,0.36
WA-502,0.678,0.536,0.606
WA-503,0.505,0.477,0.46
WA-504,0.1,0.279,0.092
WA-508,0.328,0.136,0.16
WI-500,0.181,0.174,0.219
WI-501,0.654,0.609,0.507
WI-502,0.412,0.273,0.207
WI-503,0.491,0.501,0.349
WV-500,0.22,0.017,0.055
WV-501,0.002,0.003,0.004
WV-503,0.101,0.075,0.033
WV-508,0.25,0.204,0.129
WY-500,0.374,0.12,0.039
