HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
AK-500,"2,551","2,235","3,153","2,671","2,480","3,321","3,755"
AK-501,"1,104","1,528","2,067","1,694","1,477","1,480","1,225"
AL-500,"3,302","3,121","2,938","2,512","2,642","1,983","1,681"
AL-501,"1,929","1,915","1,764","1,688","1,764","1,142","1,180"
AL-502,,14,13,12,14,122,20
AL-503,467,398,368,708,907,814,626
AL-504,857,"1,065","1,058",844,629,657,589
AL-505,425,404,,,,,124
AL-506,194,534,386,130,206,126,141
AL-507,363,275,254,58,160,91,731
AR-500,"1,414","1,274","1,395","1,283","1,128",742,853
AR-501,819,830,571,238,527,634,572
AR-503,"1,141",885,"1,066",995,952,383,700
AR-505,230,174,124,,59,53,76
AR-508,439,454,346,,967,608,547
AR-512,45,285,0,,,,
AZ-500,"3,424","3,442","4,284","4,040","4,310","3,682","3,972"
AZ-501,"3,547","4,119","3,484","3,388","2,966","2,873","2,808"
AZ-502,"10,479","10,099","9,746","8,998","9,635","8,800","11,402"
CA-500,"4,297","3,572","4,965","5,051","3,385","5,300","4,386"
CA-501,"3,396","4,852","1,730","2,842",629,"5,228","3,531"
CA-502,"3,154","2,688","2,979","2,245","3,622","2,626","3,031"
CA-503,"3,640","3,941","5,257","5,108","5,206","4,649","4,874"
CA-504,"1,262","2,374","2,395","1,625","1,675","1,611","1,570"
CA-505,"1,922","1,837","1,707","1,854","2,932",663,"1,065"
CA-506,"1,086","1,045","1,087","1,272","1,123","1,425","1,170"
CA-507,713,491,787,543,266,463,608
CA-508,976,969,660,"1,114","1,212","1,095",993
CA-509,425,328,441,353,323,378,667
CA-510,"2,284","3,155","4,393","3,801","3,571","2,640","2,217"
CA-511,"2,871","2,736","5,985","6,772","5,524","4,030","3,499"
CA-512,"1,896","1,565","1,505","1,984",729,"1,605","1,116"
CA-513,"1,067","1,083","1,396","1,248","1,488","1,882","1,638"
CA-514,"1,162","1,126","1,579","1,183","1,418","2,297","2,918"
CA-515,801,943,923,812,651,529,642
CA-516,29,18,112,337,419,844,679
CA-517,396,337,342,354,315,380,217
CA-518,884,"1,072",987,740,"1,096","1,304","1,329"
CA-519,952,846,926,777,"1,010",643,910
CA-520,475,511,356,352,330,182,931
CA-521,527,392,263,536,570,898,647
CA-522,668,506,617,427,540,702,446
CA-523,41,173,0,288,226,10,30
CA-524,187,123,485,"1,034","1,411","1,281","1,182"
CA-525,122,178,212,387,289,252,167
CA-526,512,392,479,560,486,500,446
CA-527,344,238,201,276,231,296,158
CA-529,0,0,,,,119,217
CA-530,40,37,183,189,116,168,143
CA-531,,,923,238,241,158,292
CA-600,"20,862","22,181","18,138","27,119","25,005","26,783","19,860"
CA-601,"8,358","8,898","8,968","8,653","6,761","8,232","9,212"
CA-602,"5,134","4,534","4,269","5,342","5,761","4,430","5,067"
CA-603,"1,945","1,563","1,520","1,366","1,413","1,570","1,530"
CA-604,"1,855","1,829","2,282","2,512","2,508","1,824","3,022"
CA-606,"1,465","1,283","1,378","1,153",738,"1,683","1,456"
CA-607,709,636,730,632,598,473,259
CA-608,"4,039","3,935","3,604","3,988","4,160","4,886","4,098"
CA-609,"6,131","5,552","4,583","4,658","4,423","4,769","4,116"
CA-611,"1,108",922,624,855,"1,217","1,240",862
CA-612,211,154,193,168,271,300,259
CA-613,333,405,331,427,332,574,897
CA-614,"1,329","1,154","1,075",991,968,860,"1,396"
CA-615,,,,,,,
CO-500,"2,908","2,690","3,468","2,811","3,598","2,081","2,141"
CO-503,"9,424","8,583","5,958","4,671","7,616","11,207","10,834"
CO-504,"2,906","3,624","4,317","3,636","2,781","3,227","2,871"
CO-505,,,,"1,013",979,619,"1,039"
CT-502,,,,,,,
CT-503,"1,241","1,350","1,237","1,095",935,711,714
CT-505,"5,966","5,485","4,363","3,902","3,920","3,123","2,970"
DC-500,"10,329","9,353","7,776","6,898","6,519","6,855","6,578"
DE-500,"2,175","2,260","2,836","1,934","1,750","1,655","1,983"
FL-500,"3,514","3,433","3,508","3,436","3,095","2,037","2,104"
FL-501,"4,008","4,040","3,601","3,118","3,243","3,185","3,129"
FL-502,"6,015","6,310","5,817","5,516","4,943","3,666","3,844"
FL-503,"1,769","2,005","1,983","1,753","1,721","1,210","1,282"
FL-504,"1,859","1,737","1,373",751,"1,091","1,049","1,126"
FL-505,727,454,339,249,359,303,581
FL-506,"2,567","2,502","2,310","2,071","1,869","1,383","1,192"
FL-507,"5,432","5,181","5,194","4,922","4,972","4,024","4,124"
FL-508,"1,853","1,581","1,726","1,674","1,633","1,175","1,039"
FL-509,716,676,995,946,841,611,609
FL-510,"2,510","3,192","2,457","2,240","2,320","2,348","3,044"
FL-511,"2,551","2,768","2,425","2,040","1,763",724,"1,073"
FL-512,715,748,483,683,595,461,491
FL-513,"1,150","1,210","1,189","1,297","1,289","1,057","1,357"
FL-514,"1,494",0,0,0,0,644,"1,046"
FL-515,"1,354","1,332","1,413","1,108","1,378",705,614
FL-517,148,70,133,156,0,17,261
FL-518,498,780,671,523,336,434,456
FL-519,862,0,0,996,864,711,"1,108"
FL-520,893,"1,023",842,811,459,620,747
FL-600,"5,042","6,213","5,448","4,900","4,336","3,914","4,856"
FL-601,"3,171","3,368","3,949","3,613","3,370","2,465","2,051"
FL-602,667,622,505,401,338,288,496
FL-603,910,"1,324","1,012","1,345",946,984,"1,678"
FL-604,872,"1,309",789,544,981,905,968
FL-605,"2,117","1,743","1,672","1,573","1,375","1,430","1,891"
FL-606,93,56,93,0,20,30,120
GA-500,"9,739","8,058","6,300","7,175","7,482","4,922","5,775"
GA-501,"5,733","6,056","5,864","7,767","7,252","5,648","6,250"
GA-502,0,969,776,"1,066",954,761,882
GA-503,654,871,349,518,462,699,469
GA-504,"1,277",981,"1,087","1,075",915,717,888
GA-505,453,563,643,649,584,497,685
GA-506,"1,075","1,166","1,181","1,316","1,469","1,166","1,363"
GA-507,"1,294","1,277","1,213",989,"1,079",749,"1,023"
GA-508,968,"1,051","1,569","1,554","1,152","1,035",958
GU-500,529,525,494,594,442,341,510
HI-500,"1,833","1,716","1,984","1,665","1,273","1,196","1,036"
HI-501,"3,691","3,466","3,799","3,382","3,381","2,769","2,784"
IA-500,251,235,354,269,277,632,434
IA-501,"4,910","4,924","4,420","4,329","4,605","3,767","4,427"
IA-502,"2,547","2,701","2,696","2,358","2,478","2,026","1,778"
ID-500,951,893,994,"1,001","1,537","1,697","1,556"
ID-501,"2,084","2,044","1,890","1,810","1,489","1,512","1,448"
IL-500,338,318,259,263,281,272,190
IL-501,363,"1,027","1,401","1,399","1,458",958,"1,122"
IL-502,782,662,864,893,721,850,677
IL-503,545,459,343,412,479,628,475
IL-504,467,353,439,478,274,177,228
IL-506,915,931,926,"1,054","1,023",675,672
IL-507,795,841,"1,012","1,220","1,098",779,603
IL-508,288,398,416,483,742,590,266
IL-509,52,130,,,,,
IL-510,"12,417","14,188","10,816","11,259","11,257","5,793","6,610"
IL-511,"2,166","2,171","2,076","1,591","2,005","2,089","1,635"
IL-512,830,666,825,809,849,528,464
IL-513,886,769,754,801,761,437,547
IL-514,664,787,783,711,846,561,453
IL-515,224,254,352,511,563,450,471
IL-516,349,226,164,190,269,184,389
IL-517,945,"1,097",797,"1,126","1,186",678,508
IL-518,0,277,596,708,757,451,"1,009"
IL-519,605,441,348,415,398,386,456
IL-520,819,738,842,646,693,632,532
IN-500,874,867,,,,,
IN-502,"8,497","7,732","6,326","7,163","6,697","5,550","6,051"
IN-503,"2,594","2,759","2,716","6,548","5,892","5,104","4,825"
KS-502,"1,956","2,384","2,480","2,201","2,086","1,290","1,577"
KS-503,758,164,196,259,235,335,879
KS-505,302,171,315,201,186,191,231
KS-507,"1,583","1,282","1,360",855,"1,012","1,091","2,009"
KY-500,"4,089","4,018","3,515","3,104","3,135","2,788","4,174"
KY-501,"3,836","3,324","3,379","3,413","4,359","4,189","3,450"
KY-502,"2,759","2,732","2,471","2,384","2,337","1,527","1,794"
LA-500,933,756,782,710,715,882,537
LA-502,"1,581","1,447","1,356","1,090","1,088",808,633
LA-503,"4,217","4,527","4,518","4,145","3,707","3,298","3,158"
LA-505,495,158,211,440,466,291,308
LA-506,347,403,409,570,346,301,209
LA-507,320,236,406,304,330,240,205
LA-508,537,375,,,,,
LA-509,149,"1,534","1,903","1,563","1,740","1,441","1,114"
MA-500,"9,471","9,395","8,356","7,576","6,607","5,506","4,600"
MA-502,908,757,735,792,628,371,179
MA-503,630,585,524,652,423,547,425
MA-504,"3,652","3,675","3,133","3,399","3,287","2,147","1,807"
MA-505,790,989,"1,000",510,567,423,449
MA-506,"2,625","2,767","2,497","2,362","2,236","1,587","1,690"
MA-507,"1,344","1,199","1,165","1,248","1,013",741,699
MA-508,"1,085",903,649,671,,,
MA-509,873,757,844,881,978,720,428
MA-510,"2,238","2,405","1,533","1,537",610,0,
MA-511,"2,778","3,292","2,360","2,048","1,716","1,188","1,209"
MA-515,"1,067",985,959,439,507,296,287
MA-516,"4,041","3,237","2,209","3,521","2,630","2,979","2,616"
MA-517,258,286,262,209,,,
MA-519,60,282,400,267,152,190,147
MD-500,322,90,107,88,71,,
MD-501,"3,654","3,979","3,940","4,044","4,001","3,122","2,426"
MD-502,206,316,361,367,257,109,0
MD-503,678,620,641,633,695,766,862
MD-504,159,167,323,358,275,196,269
MD-505,"1,817","1,612","1,342","1,649","1,681",812,986
MD-506,251,240,296,226,176,209,276
MD-507,0,176,139,208,196,,
MD-508,600,604,797,776,711,,
MD-509,449,199,342,247,410,157,217
MD-510,228,162,151,113,161,,
MD-511,334,331,368,407,515,369,291
MD-512,0,461,400,293,274,,
MD-513,820,817,891,988,755,653,512
MD-514,,,,,,586,769
MD-600,782,883,"1,114",933,"1,020","1,026","1,024"
MD-601,"1,649","1,669","1,574","1,511","1,452","1,315","1,385"
ME-500,"4,759","4,015","4,450","4,346","3,912","3,025","3,045"
MI-500,"5,776","6,130","6,356","6,148","6,015","4,518","4,790"
MI-501,"6,919","5,869","6,106","4,836","5,400","3,673","2,894"
MI-502,867,899,690,583,652,563,338
MI-503,"1,479","1,459","1,406","1,202",901,744,0
MI-504,918,"1,052","1,317","1,247","1,717",878,925
MI-505,"1,241","1,461","1,285","1,427","1,165","1,174","1,056"
MI-506,"2,575","2,970","2,466","2,817","3,713","2,689","2,723"
MI-507,"2,468","2,124","1,943","1,047",916,987,648
MI-508,"2,103","1,978","2,037","1,817","1,814","1,297","1,388"
MI-509,"1,402","1,323","1,025",890,983,886,730
MI-510,"1,172","1,190","1,202","1,140","1,124",759,634
MI-511,256,348,296,401,570,114,149
MI-512,517,457,502,395,361,286,427
MI-513,235,218,278,218,178,,
MI-514,756,755,692,688,736,518,609
MI-515,483,587,647,708,631,425,379
MI-516,915,976,806,914,901,685,350
MI-517,672,529,590,591,581,418,529
MI-518,354,485,500,317,403,88,396
