HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
AK-500,0.14,0.111,0.075,0.211,0.127,0.03,0.051
AK-501,0,0.05,0.132,0.068,0.191,0.129,0.167
AL-500,0.18,0.152,0.17,0.167,0.126,0.144,0.061
AL-501,0.226,0.213,0.097,0.094,0.111,0.034,0.02
AL-502,,0.011,0.066,0.016,0.029,0.044,0.8
AL-503,0.071,0.1,0,0.05,0,0,0.111
AL-504,0.077,0.095,0.063,0.135,0,0,0.053
AL-505,,,,,,,
AL-506,0,0.056,,,0.071,0.04,0.045
AL-507,0.059,0,0.108,0.385,0.111,0,0.042
AR-500,0.21,0.43,0.524,0.493,0.596,0.333,0.108
AR-501,0.133,0.32,0.333,0.471,0,0.125,0
AR-503,0.267,0.344,0.421,0.5,0.659,0.511,0.5
AR-505,,,,,,0,
AR-508,,,,,,,
AR-512,,0,,,,,
AZ-500,0.214,0.253,0.226,0.153,0.15,0.12,0.095
AZ-501,0.26,0.204,0.241,0.148,0.188,0.165,0.167
AZ-502,0.23,0.216,0.217,0.171,0.179,0.231,0.145
CA-500,0.196,0.295,0.236,0.167,0.216,0.21,0.263
CA-501,0.04,0.16,0.128,0.159,0.113,0.14,0.082
CA-502,0.163,0.173,0.16,0.165,0.148,0.127,0.121
CA-503,0.283,0.365,0.325,0.333,0.124,0.102,0.1
CA-504,0.25,0.254,0.24,0.096,0.342,0.137,0.076
CA-505,0.213,0.169,0.178,0.445,0.352,0.121,0.148
CA-506,0.258,0.368,0.223,0.231,0.144,0.256,0.171
CA-507,0.227,0.038,0.25,0.083,0.333,0,0.2
CA-508,0.226,0.253,0.164,0.062,0.122,0.147,0.25
CA-509,0.049,0.062,0.061,0.023,0,0,0.25
CA-510,0.286,0.264,0.163,0.131,0.101,0.06,0.079
CA-511,0.235,0.388,0.381,0.251,0.267,0.427,0.148
CA-512,0.131,0.127,0.162,0.115,0.146,0.237,0.176
CA-513,0.339,0.395,0.144,0.1,0.098,0.022,0.074
CA-514,0.041,0.042,0.044,0.05,0.058,0.096,0.095
CA-515,0.053,0.05,0.076,0.176,0.167,0.1,0.063
CA-516,0,0.071,,0,0.5,,0
CA-517,0.071,0.182,0.191,0.4,0.095,0.182,0.13
CA-518,0.247,0.118,0.065,0,0.023,0,0.046
CA-519,0.178,0.097,0.08,0.083,0.216,0.15,0.308
CA-520,0,0.083,0,0,0.012,0.051,0
CA-521,0.304,0.214,0,0.25,0,0.105,0.1
CA-522,0.085,0.018,0.038,0.045,0.119,0.111,0.071
CA-523,,,,,,,
CA-524,,,,,,,
CA-525,,,,,,,0
CA-526,0.174,0,0.286,0.243,0.038,0.109,0.143
CA-527,,0.083,0.091,,,,
CA-529,,,,,,,
CA-530,,,,,,,
CA-531,,,0.076,0.4,0.25,0,0.25
CA-600,0.12,0.117,0.146,0.124,0.113,0.13,0.06
CA-601,0.129,0.17,0.241,0.149,0.111,0.137,0.174
CA-602,0.279,0.265,0.3,0.243,0.226,0.239,0.167
CA-603,0.23,0.318,0.329,0.203,0.266,0.098,0.063
CA-604,0.085,0.134,0.089,0.088,0.107,0.133,0.094
CA-606,0.165,0.138,0.129,0.138,0.128,0.124,0.056
CA-607,0.302,0.11,0.246,0.263,0.18,0.182,0.111
CA-608,0.333,0.246,0.212,0.158,0.123,0.151,0.068
CA-609,0.136,0.123,0.127,0.153,0.209,0.152,0.165
CA-611,0.269,0.314,0.211,0.189,0.416,0.069,0.118
CA-612,0.091,0.159,0.259,0.217,0.533,0.118,0.182
CA-613,,,,,,,
CA-614,0.033,0.13,0.056,0.114,0,0.143,0.25
CA-615,,,,,,,
CO-500,0.011,0.099,0.102,0.188,0.259,0.353,0.083
CO-503,0.148,0.163,0.13,0.138,0.184,0.086,0.154
CO-504,0.28,0.208,0.32,0.367,0.12,0.133,0.091
CO-505,,,,0.167,0.222,0.128,0.152
CT-502,,,,,,,
CT-503,0.261,0.227,0.175,0.153,0.118,0.206,0.124
CT-505,0.246,0.223,0.207,0.156,0.164,0.177,0.158
DC-500,0.155,0.273,0.156,0.164,0.078,0.088,0.122
DE-500,0.114,0.123,0.127,0.164,0.111,0.137,0.16
FL-500,0.485,0.121,0.167,0.167,0.113,0.224,0.034
FL-501,0.171,0.122,0.104,0.289,0.204,0.242,0.217
FL-502,0.073,0.046,0.091,0.124,0.171,0.149,0.169
FL-503,0.161,0.148,0.2,0.102,0.143,0.196,0.085
FL-504,0.15,0.196,0.283,0.303,0.294,0.241,0.103
FL-505,0.137,0.088,0,,0.108,0.075,0.098
FL-506,0.038,0,0.1,0.063,0.043,0.036,0.115
FL-507,0.224,0.211,0.15,0.199,0.161,0.117,0.142
FL-508,0.059,0.043,0.2,0.24,0.057,0,0
FL-509,0.054,0.029,0.133,0.042,0.1,0.152,0.077
FL-510,0.269,0.379,0.197,0.274,0.128,0.075,0.084
FL-511,0.192,0.133,0.151,0.053,0.126,0.022,0.091
FL-512,0.462,0.316,0.167,0,0.25,0,0
FL-513,0.184,0.116,0.1,0.023,0.017,0.086,0.087
FL-514,0.381,0,0.009,0.008,0.003,0.024,0.068
FL-515,0.033,0.2,,0.231,0.154,0.069,0.195
FL-517,0,0.4,0,,0,0.061,0.68
FL-518,,0.4,,0.143,0.143,0.061,0.036
FL-519,0.727,,0,0,0.162,0.514,0.294
FL-520,0,0.182,0.071,0.111,0.083,0.103,0
FL-600,0.23,0.235,0.186,0.125,0.165,0.124,0.089
FL-601,0.203,0.157,0.172,0.206,0.254,0.194,0.116
FL-602,0,0,0.167,,0.111,0.176,0
FL-603,0.22,0.164,0.153,0.283,0.32,0.282,0.115
FL-604,0.377,0.417,0.37,0.331,0.42,0.269,0.26
FL-605,0.458,0.386,0.362,0.158,0.184,0.18,0.258
FL-606,0,0,0,0.615,0.121,0.195,0.307
GA-500,0.243,0.263,0.172,0.299,0.117,0.161,0.137
GA-501,0.18,0.133,0.176,0.158,0.203,0.197,0.189
GA-502,,0.218,0.206,0.204,0.135,0.075,0.05
GA-503,0.158,0.147,0.217,0,0.192,0.176,0.08
GA-504,0.5,0.1,0.235,0.22,0.179,0.292,0
GA-505,0.248,0.276,0.301,0.165,0.261,0.196,0.293
GA-506,0.296,0.275,0.34,0.386,0.381,0.369,0.269
GA-507,0.164,0.202,0.186,0.226,0.194,0.249,0.277
GA-508,0.108,0.186,0.202,0.216,0.144,0.283,0.233
