HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
AK-500,0.262,0.435,0.349,0.474,0.418,0.34,0.254
AK-501,0.083,0.3,0.526,0.182,0.468,0.323,0.273
AL-500,0.366,0.289,0.279,0.312,0.277,0.32,0.251
AL-501,0.516,0.378,0.376,0.204,0.395,0.207,0.4
AL-502,,0.011,0.066,0.031,0.044,0.192,1
AL-503,0.357,0.35,0.37,0.3,0.2,0,0.278
AL-504,0.462,0.429,0.25,0.297,0.5,0.353,0.211
AL-505,,,,,,,
AL-506,0,0.278,,,0.321,0.08,0.091
AL-507,0.353,0.125,0.243,0.462,0.593,0.588,0.208
AR-500,0.35,0.57,0.653,0.709,0.674,0.528,0.365
AR-501,0.183,0.4,0.333,0.471,0.364,0.625,0.4
AR-503,0.267,0.344,0.439,0.603,0.682,0.553,0.522
AR-505,,,,,,1,
AR-508,,,,,,,
AR-512,,0,,,,,
AZ-500,0.379,0.408,0.389,0.325,0.282,0.284,0.294
AZ-501,0.332,0.314,0.365,0.333,0.313,0.284,0.29
AZ-502,0.439,0.391,0.337,0.391,0.393,0.434,0.377
CA-500,0.303,0.37,0.339,0.253,0.3,0.315,0.37
CA-501,0.245,0.56,0.398,0.524,0.457,0.427,0.474
CA-502,0.377,0.381,0.331,0.328,0.28,0.227,0.248
CA-503,0.56,0.576,0.517,0.513,0.49,0.466,0.55
CA-504,0.563,0.612,0.481,0.6,0.479,0.35,0.185
CA-505,0.569,0.31,0.419,0.574,0.604,0.53,0.556
CA-506,0.47,0.448,0.358,0.408,0.311,0.5,0.329
CA-507,0.5,0.346,0.625,0.167,1,1,0.2
CA-508,0.283,0.549,0.295,0.212,0.245,0.25,0.391
CA-509,0.171,0.169,0.11,0.023,0.308,0.189,0.625
CA-510,0.512,0.432,0.26,0.243,0.248,0.183,0.206
CA-511,0.561,0.572,0.633,0.406,0.446,0.701,0.481
CA-512,0.21,0.173,0.211,0.149,0.21,0.396,0.338
CA-513,0.475,0.579,0.279,0.218,0.255,0.107,0.141
CA-514,0.126,0.185,0.164,0.258,0.357,0.425,0.526
CA-515,0.579,0.45,0.241,0.824,0.75,0.8,0.625
CA-516,0.667,0.571,,0.75,0.5,,0
CA-517,0.143,0.318,0.319,0.4,0.286,0.364,0.217
CA-518,0.479,0.176,0.113,0.375,0.098,0.086,0.092
CA-519,0.356,0.233,0.16,0.208,0.378,0.25,0.423
CA-520,0,0.25,0.083,0.135,0.099,0.051,0.058
CA-521,0.391,0.286,0.063,0.321,0,0.368,0.3
CA-522,0.162,0.2,0.212,0.373,0.405,0.361,0.429
CA-523,,,,,,,
CA-524,,,,,,,
CA-525,,,,,,,0
CA-526,0.391,0.667,0.857,0.351,0.192,0.152,0.286
CA-527,,0.583,0.318,,,,
CA-529,,,,,,,
CA-530,,,,,,,
CA-531,,,0.241,0.6,0.5,1,0.5
CA-600,0.323,0.316,0.346,0.277,0.305,0.334,0.379
CA-601,0.199,0.282,0.354,0.264,0.341,0.28,0.332
CA-602,0.491,0.411,0.464,0.495,0.488,0.454,0.45
CA-603,0.378,0.42,0.479,0.314,0.418,0.424,0.302
CA-604,0.351,0.364,0.336,0.375,0.403,0.451,0.379
CA-606,0.444,0.378,0.398,0.354,0.365,0.376,0.352
CA-607,0.349,0.242,0.369,0.368,0.377,0.455,0.778
CA-608,0.502,0.385,0.358,0.342,0.403,0.434,0.308
CA-609,0.237,0.196,0.188,0.235,0.339,0.309,0.31
CA-611,0.389,0.562,0.422,0.361,0.649,0.196,0.314
CA-612,0.2,0.205,0.444,0.652,0.7,0.353,0.455
CA-613,,,,,,,
CA-614,0.533,0.304,0.333,0.364,0.176,0.643,0.667
