HUD CoC Number,2019,2020,2021
AK-500,0.184,0.057,0.083
AK-501,0,0.21,0.086
AL-500,0,0.016,0.028
AL-501,0.105,0.083,0.037
AL-502,,0,
AL-503,0,0.526,0.04
AL-504,0.125,0.071,0
AL-505,,,0
AL-506,0.571,0.02,0.909
AL-507,0,0,0
AR-500,0.089,0,0.442
AR-501,0.158,0.143,0.2
AR-503,0.667,0,0
AR-505,,0.236,
AR-508,,0.158,
AZ-500,0.07,0.014,0.095
AZ-501,0.06,0,0.05
AZ-502,0.275,0.118,0.064
CA-500,0.088,0,0.084
CA-501,0.155,,0.119
CA-502,0.074,0.134,0.043
CA-503,0.018,0.304,0.03
CA-504,0.048,0.044,0.014
CA-505,0.026,0.043,0.207
CA-506,0.011,0.026,0
CA-507,0.036,0.152,0.026
CA-508,0.234,0.019,0.086
CA-509,0.109,0.161,0.113
CA-510,0,0,0
CA-511,0.611,0.074,0.339
CA-512,0.093,0.115,0.026
CA-513,0.036,0.457,0.094
CA-514,0.061,0.045,0.03
CA-515,0.111,0,0.054
CA-516,0.85,0.011,0
CA-517,0,0.018,0
CA-518,0,0.016,0
CA-519,0.011,0.027,0.174
CA-520,0,0.071,0
CA-521,0,0.05,0
CA-522,0,0,0
CA-523,,0,
CA-524,,0.178,0
CA-525,,0.022,0.125
CA-526,0,0.076,0
CA-527,,0.085,
CA-529,,0.163,
CA-530,,0.135,
CA-531,0,0.213,0.158
CA-600,0.162,0.033,0.14
CA-601,0.092,0.02,0.249
CA-602,0.013,0,0.04
CA-603,0,0.012,0.122
CA-604,0.038,0.556,0.04
CA-606,0.377,0.167,0.009
CA-607,0.071,0,0.029
CA-608,0.276,0,0.024
CA-609,0,0.036,0
CA-611,0,0.349,0.037
CA-612,0,0,0.5
CA-613,,0.062,0.444
CA-614,0.031,0.073,0.058
CO-500,0,0.055,0.05
CO-503,0.067,0.12,0.38
CO-504,0.439,0.158,0.2
CO-505,0,0.02,0.019
CT-503,0.157,0.118,0.018
CT-505,0.036,,0.056
DC-500,0.12,0,0.154
DE-500,0.013,0.008,0.007
FL-500,0.02,0.026,0.038
FL-501,0.016,0,0.305
FL-502,0.279,0.061,0.075
FL-503,0.083,0.041,0
FL-504,0,0.006,0.007
FL-505,0,0.16,0
FL-506,0.133,0.032,0.04
FL-507,0.081,0.144,0.16
FL-508,0.012,0.052,0
FL-509,0,0.069,0
FL-510,0.075,0.054,0.015
FL-511,0,0.059,0.262
FL-512,0,0.038,0
FL-513,0.051,0.02,0.027
FL-514,0,0.043,0.667
FL-515,,0,
FL-517,0.405,0.012,0.073
FL-518,,0.012,0
FL-519,0,0.015,0.25
FL-520,0.214,0.035,0.036
FL-600,0.018,0,0.015
FL-601,0.03,0.035,0.013
FL-602,0,0.023,0
FL-603,,0.011,
FL-604,0.039,0.277,0
FL-605,0.083,0.042,0.064
FL-606,,0.05,
GA-500,0.072,0.105,0.174
GA-501,0.159,0.054,0.095
GA-502,0.343,0.049,0.085
GA-503,0,0.5,0
GA-504,0,0.083,0
GA-505,0.065,0.107,0
GA-506,0.04,0.045,0.104
GA-507,0,0.061,0.031
GA-508,0.003,0,0.045
GU-500,0.138,0.058,0.19
HI-500,0,0.105,0
HI-501,0.082,0.083,0.053
IA-500,,0,0
IA-501,0.08,0.007,0.071
IA-502,0.117,0.122,0.096
ID-500,0.059,0.457,0.176
ID-501,0.155,0.115,0.151
IL-500,0,0.016,0.095
IL-501,0.16,0.08,0.232
IL-502,0.048,0,0.136
IL-503,0.28,0.148,0.207
IL-504,0.031,0,0
IL-506,0,0,0.1
IL-507,0.039,0.083,0
IL-508,0.016,0,0
IL-510,0.113,0.078,0.078
IL-511,0.045,0.04,0.045
IL-512,0,0.174,0.308
IL-513,0.065,0,0
IL-514,0.017,0.024,0.036
IL-515,0,0,0
IL-516,0.037,0.133,0.048
IL-517,0,0,0
IL-518,0.043,0,0.286
IL-519,0,0.02,0.036
IL-520,0,0.036,0
IN-502,0.043,0.029,0.025
IN-503,0.053,0.218,0.122
KS-502,0.151,0.085,0.095
KS-503,0.051,0,0.102
KS-505,0,0,0
KS-507,0,0.011,0.217
KY-500,0.005,0,0
KY-501,0.032,0.087,0
KY-502,0.034,0.018,0.034
LA-500,0,0.024,0.158
LA-502,0.031,0.027,0.095
LA-503,0.047,0.031,0.192
LA-505,0,0,0
LA-506,0.063,0,0
LA-507,0,0.04,0
LA-509,0.04,0.027,0.086
MA-500,0.01,0.026,0.026
MA-502,0.5,0,0.132
MA-503,0.162,0.209,0.313
MA-504,0.656,0.016,0.027
MA-505,0,0,0
MA-506,0.042,0.071,0.248
MA-507,0.015,0,0.111
MA-509,0,0,0.191
MA-510,0,,
MA-511,0,0,0.031
MA-515,0,0.043,0.028
MA-516,0.048,0.088,0.13
MA-519,0,0,0
MD-500,0,,
MD-501,0.205,0.029,0.059
MD-502,0,0.316,
MD-503,0,0.033,0.012
MD-504,0.067,0.083,0
MD-505,,0.105,0
MD-506,0,0,0
MD-508,0.02,,
MD-509,0,0,1
MD-510,0.5,,
MD-511,0,0,0
MD-512,0,,
MD-513,0,0,0
MD-514,,0.038,0.012
MD-600,0,0,0
MD-601,0.027,0.018,0
ME-500,0.068,0.081,0.028
MI-500,0.082,0.016,0.026
MI-501,0,0.003,0.014
MI-502,0.01,0,0
MI-503,0.081,0.286,
MI-504,0.019,0.028,0.097
MI-505,0.052,0.089,0.013
MI-506,0.034,0.033,0.112
MI-507,0.025,0.084,0.137
MI-508,0.061,0.097,0.167
MI-509,0.035,0,0.08
MI-510,0,0.133,0
MI-511,0,0,0
MI-512,0,0,0
MI-513,0,,
MI-514,0,0.231,0
MI-515,0,0,0
MI-516,0,0,0.1
MI-517,0.105,0,0
MI-518,0,0.333,0
MI-519,0,0,0
MI-523,0,0,0
MN-500,0.076,0.076,0.13
MN-501,0.091,0.089,0.09
MN-502,0.093,0.131,0.074
MN-503,0.141,0.154,0.193
MN-504,0.058,0.139,0.163
MN-505,0.071,0.051,0.053
MN-506,0.089,0.033,0.087
MN-508,0.057,0.037,0.036
MN-509,0.078,0.087,0.106
MN-511,0.169,0.022,0.105
MO-500,0.017,0.016,0.204
MO-501,0.007,0.025,0.01
MO-503,0.065,0.111,0.273
MO-600,0,0.175,0.074
MO-602,0,0,0
MO-603,0,0,0.027
MO-604M,0.078,0.084,0.07
MO-606,0.039,0.035,0.146
MS-500,0.075,0.103,0.066
MS-501,0.014,0.02,0.057
MS-503,0,0.057,0
MT-500,0.01,0.038,0.035
NC-500,0,0.086,0
NC-501,0.126,0.045,0.023
NC-502,0.25,0.3,0.373
NC-503,0.039,0.006,0.026
NC-504,0,0.012,0
NC-505,0.126,0.02,0.037
NC-506,0,0,0
NC-507,0.041,0.107,0.038
NC-509,0.093,0,0
NC-511,0,,0
NC-513,0,0,0
NC-516,0,0,0
ND-500,0.028,0.062,0.106
NE-500,0.12,0.073,0.036
NE-501,0.014,0.056,0.053
NE-502,0.091,0.121,0.088
NH-500,0.041,0.014,0.026
NH-501,0.19,0.088,0.094
NH-502,0.067,0.061,0.033
NJ-500,0.051,0.158,0
NJ-501,0.026,0,0
NJ-502,0,0.2,0
NJ-503,0.083,0.019,0.026
NJ-504,0.119,0.028,0.029
NJ-506,0,0.023,0.05
NJ-507,0.054,0.02,0
NJ-508,0,0.146,0.095
NJ-509,0,0.023,0.167
NJ-510,0.111,0,0
NJ-511,0.115,0.017,0.046
NJ-513,0.125,0.077,0
NJ-514,0.179,0.172,0.08
NJ-515,0,0.04,0.13
NJ-516,0,0,0
NM-500,0.052,0.035,0.032
NM-501,0.132,0.038,0.063
NV-500,0.038,0.008,0.003
NV-501,0.185,0.026,0.054
NV-502,0,0,0.088
NY-500,0.065,0.086,0.019
NY-501,0.03,0.033,0.037
NY-503,0.039,0.073,0.036
NY-504,0,,
NY-505,0.043,0.031,0.056
NY-507,0.03,0.067,0.026
NY-508,0.141,0.018,0.042
NY-510,0.074,0.182,0
NY-511,0.038,0.014,0.016
NY-512,0.042,0.048,0.018
NY-513,0.042,0,0
NY-514,0,0,0
NY-516,0.031,,
NY-518,0,0,0.005
NY-519,0.052,0.087,0.02
NY-520,0,0.086,0.026
NY-522,0.021,0.035,0.109
NY-523,0.067,0.076,0.039
NY-525,0.045,0.093,0.035
NY-600,0.033,0.038,0.038
NY-601,0.057,0.024,0.016
NY-602,0,0,0.061
NY-603,0.053,0.099,0.091
NY-604,0.013,0.018,0.036
NY-606,0.071,0,0.067
NY-608,0,0,0.022
OH-500,0.088,0.074,0.121
OH-501,0.134,0.007,0.124
OH-502,0.005,0.012,0.012
OH-503,0.045,0.01,0.034
OH-504,0.007,0.013,0.008
OH-505,0.056,0.022,0.032
OH-506,0.07,0.083,0.034
OH-507,0.039,0.035,0.085
OH-508,0.014,0,0.033
OK-500,0,0,0
OK-501,0.125,0.182,0.036
OK-502,0.095,0.089,0.026
OK-503,0,0.026,0.111
OK-504,0,0.023,0
OK-505,0,0,0
OK-506,0,,0
OK-507,0,0,0.286
OR-500,0.031,0.101,0.099
OR-501,0.237,0.141,0.167
OR-502,0.039,0.073,0.145
OR-503,,0,0.2
OR-504,0.065,0.01,0
OR-505,0.021,0.048,0
OR-506,0.011,0,0
OR-507,0.148,0.113,0.036
PA-500,0.027,0.029,0.051
PA-501,0.071,0,0.029
PA-502,0.078,0,0.014
PA-503,0,0,0
PA-504,0.122,0.025,0.095
PA-505,0.038,0.024,0.02
PA-506,0,0.213,0.03
PA-508,0,0,0
PA-509,0.029,0.043,0.046
PA-510,0.067,0.063,0.095
PA-511,0.037,0.1,0
PA-512,0,0,0
PA-600,0.014,0.043,0.028
PA-601,0.018,0.046,0
PA-603,0.033,0,0.035
PA-605,0.158,0.089,0.213
PR-502,0,0,0
PR-503,0.038,0.07,0
RI-500,0.034,0.004,0.009
SC-500,0.059,0.043,0.125
SC-501,0,0,0.016
SC-502,0.083,0.122,0
SC-503,0.085,0.071,0.058
SD-500,0.076,0.02,0.094
TN-500,0,0,0
TN-501,0.002,0.025,0.13
TN-502,0.301,0.282,0.245
TN-503,0.042,0,0.074
TN-504,0.437,0.319,0.261
TN-506,0.048,0,0
TN-507,0,0.042,0
TN-509,0,0.081,0.213
TN-510,0.357,0.051,0
TN-512,0,0.111,0
TX-500,0.188,0.105,0.142
TX-503,0.086,0.199,0.098
TX-600,0.259,0.026,0.09
TX-601,0.012,0.049,0.03
TX-603,0.188,0.195,0.305
TX-604,0.083,0.043,0
TX-607,0.029,0.009,0.027
TX-611,0.389,0.132,0.183
TX-624,0,0,0.25
TX-700,0.092,0.044,0.067
UT-500,0.057,0.086,0.129
UT-503,0.034,0.125,0.056
UT-504,0.035,0.045,0.009
VA-500,0.276,0.088,0.034
VA-501,0.009,0.081,0.029
VA-502,0.045,0,0.24
VA-503,0,0,0.065
VA-504,0,0.167,0.167
VA-505,0.023,0.027,0.038
VA-507,0,0,0.042
VA-508,0,0,0
VA-513,0.267,0.167,0.286
VA-514,0.056,0.083,0
VA-521,0.065,0.024,0.067
VA-600,0,0,0
VA-601,0.104,0.058,0.079
VA-602,0,0.5,0
VA-603,0,0,0
VA-604,0.25,0,0
VI-500,0.13,0.2,
VT-500,0,0.016,0
VT-501,0.083,0.045,0.071
WA-500,0.083,0.103,0.088
WA-501,0.086,0.099,0.066
WA-502,0.035,0.142,0.179
WA-503,0.06,0.118,0.091
WA-504,0.053,0.13,0.065
WA-508,0.13,0.053,0.082
WI-500,0.057,0.103,0.044
WI-501,0.006,0.007,0.023
WI-502,0.04,0.083,0.053
WI-503,0.082,0.12,0.12
WV-500,0,0,0
WV-501,0.012,0,0
WV-503,0,0.056,0.056
WV-508,0.024,0.021,0.021
WY-500,0,0,0
