HUD CoC Number,2019,2020,2021
AK-500,0.17,0.04,0.16
AK-501,0.03,0.18,0.03
AL-500,0,0.06,0.05
AL-501,0.04,0.16,0.02
AL-502,,0.09,0
AL-503,0,0.05,0
AL-504,0,0.02,0
AL-505,,,0.2
AL-506,0.09,0.01,0
AL-507,0,0.02,0.04
AR-500,0.26,0.01,0.26
AR-501,0,0.03,0.2
AR-503,0.18,0.06,0.03
AR-505,,0.1,
AR-508,0,0.03,0
AZ-500,0.03,0.05,0.02
AZ-501,0.01,0,0
AZ-502,0.05,0.05,0.06
CA-500,0.05,0,0.06
CA-501,0.2,0.21,0.16
CA-502,0.06,0.06,0.03
CA-503,0.04,0.12,0.1
CA-504,0.01,0.03,0.02
CA-505,0.05,0.03,0.04
CA-506,0.02,0.05,0.03
CA-507,0.12,0.04,0.1
CA-508,0.13,0.03,0.05
CA-509,0.13,0.04,0.06
CA-510,0.02,0,0
CA-511,0.03,0.06,0.26
CA-512,0.01,0.04,0.04
CA-513,0.08,0.09,0.09
CA-514,0.01,0.01,0.04
CA-515,0.01,0.07,0.03
CA-516,0.08,0.05,0.11
CA-517,0.06,0,0.03
CA-518,0.02,0,0.12
CA-519,0.03,0.17,0.17
CA-520,0,0.04,0.35
CA-521,0.12,0,0.18
CA-522,0.16,0.09,0.45
CA-523,0.12,0.04,0.19
CA-524,0.08,0.08,0
CA-525,0,0.03,0.06
CA-526,0.01,0.03,0.03
CA-527,0,0.04,0
CA-529,,0.02,0
CA-530,0,0.03,0
CA-531,0,0.02,0.06
CA-600,0.15,0.05,0.14
CA-601,0.03,0,0.04
CA-602,0.04,0.04,0.06
CA-603,0.03,0.03,0.01
CA-604,0.07,0.06,0.03
CA-606,0.1,0.03,0.06
CA-607,0.07,0.08,0
CA-608,0.02,0.03,0.01
CA-609,0,0.02,0.08
CA-611,0.05,0.04,0
CA-612,0,0.2,0.03
CA-613,0.11,0.16,0.39
CA-614,0.09,0.01,0.08
CO-500,0.15,0.03,0.09
CO-503,0.02,0.13,0.11
CO-504,0.09,0.04,0.08
CO-505,0.06,0,0.07
CT-503,0.05,0.07,0.06
CT-505,0.03,,0.05
DC-500,0.08,0,0.04
DE-500,0.04,0.04,0.04
FL-500,0.03,0.05,0.04
FL-501,0.01,0.01,0.03
FL-502,0.03,0.01,0.07
FL-503,0.03,0,0.04
FL-504,0.01,0.01,0.04
FL-505,0.13,0.14,0.11
FL-506,0.07,0.03,0.1
FL-507,0.02,0.31,0.04
FL-508,0,0.02,0
FL-509,0,0.03,0
FL-510,0.03,0,0.11
FL-511,0,0.11,0.01
FL-512,0,0.02,0
FL-513,0.01,0,0
FL-514,0,0,0.05
FL-515,0,0,0.11
FL-517,0.14,0.01,0.19
FL-518,0.02,0.04,0.14
FL-519,0,0.36,0.11
FL-520,0.09,0.04,0.12
FL-600,0.01,0.02,0
FL-601,0.05,0,0.01
FL-602,0,0.03,0.01
FL-603,0.01,0,0.13
FL-604,0,0.05,0
FL-605,0.04,0,0.07
FL-606,0,0,
GA-500,0.03,0.04,0.08
GA-501,0.01,0.06,0.09
GA-502,0.2,0.03,0.1
GA-503,0,0.12,0
GA-504,0,0.17,0
GA-505,0,0.09,0.01
GA-506,0.04,0,0.02
GA-507,,0.04,
GA-508,0.03,0.01,0.01
GU-500,0.05,0.05,0.23
HI-500,0.02,0.1,0
HI-501,0.1,0.06,0.04
IA-500,0.02,0.05,0.02
IA-501,0.06,0.07,0.07
IA-502,0.06,0.06,0.1
ID-500,0.09,0.09,0.05
ID-501,0.04,0,0.02
IL-500,0,0.06,0.05
IL-501,0.03,0.05,0.03
IL-502,0,0.04,0.05
IL-503,0.03,0,0
IL-504,0,0.09,0.09
IL-506,0,0,0.03
IL-507,0,0,0
IL-508,0,0,0
IL-510,0.08,0.08,0.12
IL-511,0.01,0.02,0.1
IL-512,0.01,0.38,0.37
IL-513,,0,0.08
