Param 2 Return Timeframe,HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
,AL-502,,,,,,,
,AR-505,,,,,,,
,AR-512,,,,,,,
,CA-519,,,,,,,
,CA-523,,,,,,,
,CA-527,,,,,,,
,CA-529,,,,,,,
,CA-530,,,,,,,
,CA-615,,,,,,,
,CT-502,,,,,,,
,FL-517,,,,,,,
,FL-519,,,,,,,
,GA-502,,,,,,,
,IL-516,,,,,,,
,IL-518,,,,,,,
,MA-502,,,,,,,
,MA-503,,,,,,,
,MA-508,,,,,,,
,MA-510,,,,,,,
,MD-502,,,,,,,
,MD-507,,,,,,,
,MD-512,,,,,,,
,MI-503,,,,,,,
,MP-500,,,,,,,
,NJ-512,,,,,,,
,NY-502,,,,,,,
,NY-511,,,,,,,
,NY-513,,,,,,,
,NY-519,,,,,,,
,NY-525,,,,,,,
,OK-506,,,,,,,
,TX-611,,,,,,,
,TX-624,,,,,,,
,VI-500,,,,,,,
0%,AL-506,,,,,,0.00%,
0%,AL-507,,,,0.00%,0.00%,,0.00%
0%,AR-512,,0.00%,,,,,
0%,CA-516,0.00%,0.00%,0.00%,,,,
0%,CA-523,0.00%,0.00%,,0.00%,,,
0%,CA-524,,0.00%,,,,,
0%,CA-525,0.00%,0.00%,,,,,
0%,CA-527,,0.00%,0.00%,,,,
0%,CA-530,0.00%,,,,,,
0%,FL-517,,,,0.00%,0.00%,0.00%,0.00%
0%,FL-520,0.00%,,,,,,
0%,FL-606,,,,,,0.00%,
0%,KS-503,,0.00%,,,,,
0%,MD-509,,,,,0.00%,0.00%,
0%,MP-500,,,,0.00%,0.00%,0.00%,0.00%
0%,NC-511,,,,,,,0.00%
0%,NJ-512,0.00%,0.00%,,,,,0.00%
0%,NY-519,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%
0%,NY-520,0.00%,,,,,,
0%,NY-606,,0.00%,,,,,
0%,NY-607,,,,0.00%,0.00%,,
0%,OK-503,,0.00%,,,,,
0%,OK-504,0.00%,,,,,,
0%,OR-507,0.00%,,,,,,
0%,TN-510,,,,0.00%,,,
0%,VA-504,0.00%,,,,,,
1%,GA-502,,,,0.60%,,,
1%,FL-514,,,,1.00%,,,
1%,OK-503,,,,,,1.20%,
1%,IL-516,,1.20%,,,,,
1%,TN-510,,,,,,1.30%,
1%,CA-516,,,,1.30%,,,
1%,VI-500,,,,,1.30%,,
1%,AL-507,,,,,,1.30%,
1%,MT-500,,,1.50%,,,,
1%,FL-514,,,,,,1.50%,
1%,MN-504,1.50%,,,,,,
1%,NY-513,,1.50%,,,,,
2%,NJ-510,,1.50%,,,,,
2%,NY-504,1.60%,,,,,,
2%,MD-500,,,,,1.70%,,
2%,IL-503,,,,,,,1.70%
2%,OR-507,,,,,,1.70%,
2%,IA-500,,1.70%,,,,,
2%,CA-612,,,1.80%,,,,
2%,GA-503,1.80%,,,,,,
2%,CA-516,,,,,1.80%,,
2%,MS-503,1.90%,,,,,,
2%,GA-502,,,,,1.90%,,
2%,IL-504,,,,,,,2.40%
2%,MA-519,,,,2.40%,,,
3%,CA-519,,2.60%,,,,,
3%,NY-516,,,,,2.60%,,
3%,NY-516,,,,2.70%,,,
3%,OR-507,,2.70%,,,,,
3%,TN-503,2.70%,,,,,,
3%,MD-508,,2.70%,,,,,
3%,OK-503,,,,,,,2.80%
3%,NC-511,,,,,,2.80%,
3%,TX-701,,2.80%,,,,,
3%,LA-505,,,,2.90%,,,
3%,AL-507,2.90%,,,,,,
3%,MD-500,,,,2.90%,,,
3%,MT-500,,,,,2.90%,,
3%,MA-517,,,2.90%,,,,
3%,TN-507,,,3.00%,,,,
3%,MA-519,,,,,3.00%,,
3%,MD-507,,,,,3.00%,,
3%,OK-503,3.00%,,,,,,
3%,AL-507,,3.00%,,,,,
3%,MS-503,,,3.10%,,,,
3%,NY-507,3.20%,,,,,,
3%,MA-516,,3.20%,,,,,
3%,LA-503,,,,,,,3.20%
3%,MT-500,,3.20%,,,,,
3%,CA-607,,,,,,3.20%,
3%,MT-500,3.20%,,,,,,
3%,OK-507,,,,,3.30%,,
3%,IL-520,3.30%,,,,,,
3%,AR-501,,,,,,3.30%,
3%,MD-502,,,,,3.30%,,
3%,OR-507,,,3.30%,,,,
3%,AL-506,,,,,3.30%,,
3%,CA-612,,,,,,3.40%,
3%,LA-505,,,,,,3.40%,
4%,NJ-507,,,,3.50%,,,
4%,VA-502,3.60%,,,,,,
4%,CA-530,,,,,,,3.60%
4%,MT-500,,,,3.60%,,,
4%,MA-516,,,,,3.60%,,
4%,CA-607,,,,,,,3.60%
4%,CA-524,,,3.70%,,,,
4%,MD-507,,,,3.70%,,,
4%,IA-500,,,,3.70%,,,
4%,KS-505,,,,3.70%,,,
4%,LA-506,,,3.70%,,,,
4%,MO-602,,3.70%,,,,,
4%,GA-502,,,,,,,3.70%
4%,NJ-513,,3.70%,,,,,
4%,NC-511,,,,,3.80%,,
4%,MD-504,3.80%,,,,,,
4%,OR-507,,,,3.80%,,,
4%,TN-507,,,,,,,4.00%
4%,NJ-510,,,,,,,4.00%
4%,NJ-510,4.10%,,,,,,
4%,TN-510,,,,,,,4.10%
4%,MA-502,,,4.10%,,,,
4%,AR-512,4.20%,,,,,,
4%,MD-512,,,,,4.20%,,
4%,NY-504,,4.20%,,,,,
4%,MN-504,,,,,,,4.20%
4%,MA-517,,4.30%,,,,,
4%,MA-515,,,,,,4.40%,
4%,TN-512,,,,,,,4.40%
4%,OK-503,,,,4.40%,,,
4%,TN-506,,,,,4.40%,,
4%,MA-510,,,,,4.50%,,
5%,CA-612,,,,,,,4.50%
5%,IL-509,,4.50%,,,,,
5%,IL-516,,,4.60%,,,,
5%,TN-507,,,,4.60%,,,
5%,VA-507,4.60%,,,,,,
5%,OK-502,4.70%,,,,,,
5%,IA-500,,,4.70%,,,,
5%,NJ-511,,,4.80%,,,,
5%,NJ-507,,,,,,4.80%,
5%,MS-501,,,,,4.80%,,
5%,KS-503,,,4.90%,,,,
5%,NC-513,,,4.90%,,,,
5%,NJ-508,,,,,,5.00%,
5%,IL-504,,,,5.00%,,,
5%,CA-607,,,,,5.00%,,
5%,MS-503,,5.00%,,,,,
5%,MD-512,,,5.00%,,,,
5%,PA-600,,,,5.10%,,,
5%,FL-519,,,,5.10%,,,
5%,WA-501,5.10%,,,,,,
5%,NJ-502,,5.10%,,,,,
5%,LA-507,,,5.20%,,,,
5%,KS-505,,,,,5.20%,,
5%,MA-519,,,5.20%,,,,
5%,FL-514,,,,,5.20%,,
5%,CA-611,,,,5.20%,,,
5%,MA-517,5.20%,,,,,,
5%,NJ-508,,5.20%,,,,,
5%,CA-530,,5.30%,,,,,
5%,LA-506,,,,,,,5.30%
5%,NY-606,,,,,,,5.30%
5%,OK-504,,5.30%,,,,,
5%,NJ-511,,5.40%,,,,,
5%,MA-516,5.40%,,,,,,
5%,MA-502,,5.40%,,,,,
5%,NJ-508,,,,,5.40%,,
5%,OR-502,5.40%,,,,,,
6%,MN-502,5.50%,,,,,,
6%,NJ-508,,,,,,,5.50%
6%,MA-519,,5.60%,,,,,
6%,NY-606,5.60%,,,,,,
6%,CA-607,,,5.60%,,,,
6%,TN-512,,,,,,5.60%,
6%,LA-505,,,,,,,5.60%
6%,MO-602,5.60%,,,,,,
6%,GA-502,,,5.70%,,,,
6%,NJ-511,,,,5.70%,,,
6%,CA-611,,,,,,5.70%,
6%,MN-508,,5.70%,,,,,
6%,PA-501,,,,,5.80%,,
6%,CA-611,,,,,5.80%,,
6%,TN-506,,,,5.80%,,,
6%,CA-612,5.80%,,,,,,
6%,MA-516,,,,,,,5.90%
6%,IL-504,,,,,,5.90%,
6%,GA-508,,,,5.90%,,,
6%,TN-506,,,,,,5.90%,
6%,MI-502,,,,5.90%,,,
6%,CA-607,,,,6.00%,,,
6%,NJ-507,,,,,,,6.00%
6%,TN-507,,6.00%,,,,,
6%,TN-506,6.00%,,,,,,
6%,NJ-511,,,,,,,6.00%
6%,NC-511,,,,6.00%,,,
6%,CA-606,,,,,,6.00%,
6%,MD-500,,,6.10%,,,,
6%,CA-612,,,,,6.10%,,
6%,MT-500,,,,,,6.10%,
6%,OR-507,,,,,6.10%,,
6%,OR-505,,6.10%,,,,,
6%,PA-600,,,,,6.10%,,
6%,MS-501,,,,,,6.20%,
6%,MA-515,,,,,,,6.20%
6%,GA-503,,,,,6.20%,,
6%,NJ-507,,,6.20%,,,,
6%,MA-516,,,,6.20%,,,
6%,NJ-507,,,,,6.20%,,
6%,NJ-511,6.20%,,,,,,
6%,MA-504,,,,,,,6.20%
6%,MD-512,,6.30%,,,,,
6%,NV-502,6.30%,,,,,,
6%,TN-506,,,6.30%,,,,
6%,TN-512,,,6.30%,,,,
6%,IL-515,,,,,,6.30%,
6%,OK-507,,,,,,,6.30%
6%,MN-508,6.30%,,,,,,
6%,MO-603,,,,,,6.30%,
6%,OK-503,,,6.40%,,,,
6%,NJ-511,,,,,6.40%,,
6%,PA-600,,,6.40%,,,,
6%,MS-503,,,,,,,6.40%
6%,CA-612,,,,6.50%,,,
7%,MO-503,,,,,6.50%,,
7%,MA-504,,,6.60%,,,,
7%,MA-516,,,6.60%,,,,
7%,CO-505,,,,,,,6.70%
7%,TN-507,,,,,6.70%,,
7%,MA-515,,,,6.70%,,,
7%,KS-507,,,,,,6.70%,
7%,GA-502,,6.70%,,,,,
7%,TN-507,6.70%,,,,,,
7%,TN-503,,6.80%,,,,,
7%,TX-701,,,,,,,6.80%
7%,IL-508,,6.80%,,,,,
7%,IL-503,,,,,6.80%,,
7%,MI-511,,,,,6.80%,,
7%,TN-510,,,,,6.80%,,
7%,IL-518,,,6.80%,,,,
7%,ID-500,,,,6.90%,,,
7%,MN-504,,6.90%,,,,,
7%,MD-504,,,,6.90%,,,
7%,MA-519,6.90%,,,,,,
7%,NJ-513,6.90%,,,,,,
7%,TN-512,,6.90%,,,,,
7%,MD-509,6.90%,,,,,,
7%,LA-503,,,,,,7.00%,
7%,NJ-511,,,,,,7.00%,
7%,CA-526,,,,7.00%,,,
7%,MO-603,,,,,7.10%,,
7%,IL-504,,7.10%,,,,,
7%,MO-503,7.10%,,,,,,
7%,IL-508,,,,7.10%,,,
7%,TN-503,,,7.10%,,,,
7%,FL-517,7.10%,,,,,,
7%,LA-507,,,,7.10%,,,
7%,PA-501,,7.10%,,,,,
7%,VA-501,7.20%,,,,,,
7%,GU-500,,,,,,7.20%,
7%,GA-508,,,,,7.20%,,
7%,MO-500,,7.20%,,,,,
7%,NJ-514,,,7.20%,,,,
7%,MA-508,,,,7.30%,,,
7%,CA-606,,,,,,,7.30%
7%,VA-501,,7.30%,,,,,
7%,GA-508,,,,,,7.30%,
7%,CA-611,,,7.30%,,,,
7%,VA-513,7.30%,,,,,,
7%,MO-500,,,,,,,7.30%
7%,NJ-516,7.30%,,,,,,
7%,IL-508,,,,,,,7.40%
7%,MA-516,,,,,,7.40%,
7%,OR-506,,,,7.40%,,,
7%,PA-509,7.40%,,,,,,
7%,KS-505,7.50%,,,,,,
7%,PA-500,,,7.50%,,,,
7%,MA-515,,,,,7.50%,,
7%,MS-500,,,,7.50%,,,
8%,PA-509,,,7.50%,,,,
8%,MN-511,,,,,,7.50%,
8%,MI-511,,,,,,,7.60%
8%,GA-508,,,,,,,7.60%
8%,MN-503,,,7.70%,,,,
8%,FL-606,,,,,,,7.70%
8%,IL-500,7.70%,,,,,,
8%,MN-511,,,,7.70%,,,
8%,TX-601,7.70%,,,,,,
8%,IL-518,,,,,7.70%,,
8%,AK-501,,7.70%,,,,,
8%,MD-510,,7.70%,,,,,
8%,MA-504,,7.80%,,,,,
8%,MN-502,,7.80%,,,,,
8%,OK-504,,,,7.80%,,,
8%,MA-519,,,,,,7.80%,
8%,GA-505,,,,,,,7.80%
8%,MN-511,7.80%,,,,,,
8%,VI-500,,7.80%,,,,,
8%,OR-504,,,,,7.90%,,
8%,NJ-509,,7.90%,,,,,
8%,FL-504,,,,,,,7.90%
8%,FL-514,,,7.90%,,,,
8%,OR-506,,,,,7.90%,,
8%,ID-500,,,7.90%,,,,
8%,MA-504,8.00%,,,,,,
8%,MI-502,,,8.00%,,,,
8%,NV-502,,,8.00%,,,,
8%,MN-502,,,,8.00%,,,
8%,MD-502,,,,,,8.00%,
8%,NJ-504,8.00%,,,,,,
8%,PA-502,,,,8.00%,,,
8%,MN-509,8.00%,,,,,,
8%,CA-606,8.00%,,,,,,
8%,MA-505,,,,,,,8.10%
8%,NY-607,8.10%,,,,,,
8%,MA-502,8.10%,,,,,,
8%,OR-504,,,,,,,8.10%
8%,KS-503,,,,8.10%,,,
8%,OR-505,,,,,,8.20%,
8%,MA-505,,,,,,8.20%,
8%,MN-508,,,,8.20%,,,
8%,CA-614,,,,,,,8.20%
8%,CA-607,8.20%,,,,,,
8%,PA-600,,,,,,8.20%,
8%,IL-504,8.20%,,8.20%,,,,
8%,MI-523,,8.20%,,,,,
8%,MD-507,,,8.20%,,,,
8%,NY-518,8.30%,,,,,,
8%,PA-601,,,,,,,8.30%
8%,VA-507,,8.30%,,,,,
8%,NJ-504,,8.30%,,,,,
8%,MA-509,,,8.30%,,,,
8%,NV-502,,,,8.30%,,,8.30%
8%,OK-504,,,,,,8.30%,
8%,PA-509,,8.30%,,,,,
8%,PA-511,,,,8.40%,,,
8%,FL-509,8.40%,,,,,,
8%,CA-516,,,,,,,8.40%
8%,MN-508,,,8.40%,,,,
8%,NJ-508,,,,8.40%,,,
8%,IA-500,,,,,8.40%,,
8%,WA-504,,,8.40%,,,,
8%,MI-502,,,,,8.50%,,
8%,MD-504,,,,,8.50%,,
8%,GA-506,,,,,,,8.50%
9%,CA-526,8.50%,,,,,,
9%,MI-502,,8.50%,,,,,
9%,MA-515,,,8.50%,,,,
9%,MD-600,,,8.50%,,,,
9%,LA-509,,,,,,,8.50%
9%,FL-520,,,,,,,8.50%
9%,NJ-513,,,,,,8.50%,
9%,PA-511,,,,,8.60%,,
9%,PA-509,,,,,8.60%,,
9%,PA-502,,,,,,,8.60%
9%,MI-513,,,8.60%,,,,
9%,AL-501,,,,,,,8.60%
9%,FL-520,,,,,,8.70%,
9%,MA-504,,,,,8.70%,,
9%,TN-504,8.70%,,,,,,
9%,PA-509,,,,8.70%,,,
9%,GA-501,,,,,8.70%,,
9%,NJ-510,,,,8.70%,,,
9%,NJ-512,,,8.70%,,,,
9%,VA-513,,,,,,,8.70%
9%,OR-505,,,,,8.70%,,
9%,OR-505,,,8.80%,,,,
9%,CA-614,,,,,8.80%,,
9%,CA-527,,,,8.80%,,,
9%,IL-500,,,,8.80%,,,
9%,IL-500,,,,,,8.80%,
9%,CA-614,,,,8.80%,,,
9%,GA-502,,,,,,8.80%,
9%,FL-606,,,,8.80%,,,
9%,IL-500,,,,,8.80%,,
9%,GA-501,,,,8.80%,,,
9%,MA-505,,,,,8.80%,,
9%,MD-502,,,,8.90%,,,
9%,MN-502,,,8.90%,,,,
9%,IL-515,,,,,8.90%,,
9%,NC-509,,,,,,,8.90%
9%,FL-519,8.90%,,,,,,
9%,VA-513,,,,,8.90%,,
9%,CA-526,,,8.90%,,,,
9%,OK-505,,,,9.00%,,,
9%,MN-504,,,,9.00%,,,
9%,MD-512,,,,9.00%,,,
9%,MN-511,,,9.00%,,,,
9%,MA-510,,,,9.00%,,,
9%,IA-500,9.00%,,,,,,
9%,NY-510,,9.00%,,,,,
9%,ID-500,,,,,,,9.00%
9%,NJ-513,,,9.00%,,,,
9%,IL-504,,,,,9.00%,,
9%,NJ-515,,9.00%,,,,,
9%,IL-507,9.00%,,,,,,
9%,IL-508,,,,,9.00%,,
9%,TN-500,,,,,,,9.10%
9%,LA-503,,,,,9.10%,,
9%,OR-507,,,,,,,9.10%
9%,IL-516,9.10%,,,,,,
9%,MD-509,,,,,,,9.10%
9%,MS-501,,,9.10%,,,,
9%,NC-513,,,,,,9.10%,
9%,NJ-514,,,,,9.10%,,
9%,PA-603,,9.10%,,,,,
9%,TX-624,,9.10%,,,,,
9%,VT-501,9.10%,,,,,,
9%,MO-500,,,,,,9.10%,
9%,MD-508,,,9.10%,,,,
9%,PA-502,,,,,,9.10%,
9%,IA-500,,,,,,9.10%,
9%,VA-501,,,9.10%,,,,
9%,TN-506,,9.10%,,,,,
9%,MA-505,,9.20%,,,,,
9%,MA-517,,,,9.20%,,,
9%,MI-504,9.20%,,,,,,
9%,GA-506,,,,,,9.20%,
9%,TN-507,,,,,,9.20%,
9%,MS-501,,,,9.20%,,,
9%,CA-612,,9.20%,,,,,
9%,PA-510,,,,,,,9.20%
9%,MA-503,,,,,,,9.20%
9%,FL-603,,,,,9.20%,,
9%,CA-524,,,,,9.20%,,
9%,MI-502,9.20%,,,,,,
9%,TX-600,9.20%,,,,,,
9%,AL-501,,,,,9.20%,,
9%,TN-512,,,,,9.20%,,
9%,NJ-507,,9.30%,,,,,
9%,NJ-501,,9.30%,,,,,
9%,MD-507,,9.30%,,,,,
9%,CA-606,,9.30%,,,,,
9%,MN-504,,,,,9.30%,,
9%,TX-604,,,,9.30%,,,
9%,IL-518,,,,,,9.30%,
9%,MN-504,,,,,,9.40%,
9%,NY-513,,,,9.40%,,,
9%,CA-611,,,,,,,9.40%
9%,MN-501,9.40%,,,,,,
9%,NJ-501,,,,,,9.40%,
9%,AR-501,,,,,9.40%,,
9%,IL-515,,,,9.40%,,,
9%,MT-500,,,,,,,9.40%
9%,NY-511,,9.40%,,,,,
9%,CA-611,9.40%,,,,,,
9%,PA-511,,,,,,,9.50%
9%,KS-505,,,,,,,9.50%
9%,LA-505,,,,,9.50%,,
9%,NY-518,,9.50%,,,,,
9%,MN-501,,9.50%,,,,,
9%,LA-505,,9.50%,,,,,
9%,MS-501,,,,,,,9.50%
9%,LA-506,,,,,,9.50%,
10%,FL-606,,9.50%,,,,,
10%,OK-502,,,,,,9.50%,
10%,NJ-514,,,,9.50%,,,
10%,IL-518,,9.50%,,,,,
10%,MN-503,,,,9.60%,,,
10%,OR-506,,,,,,9.60%,
10%,MD-600,9.60%,,,,,,
10%,NJ-508,,,9.60%,,,,
10%,KS-507,,,,,,,9.60%
10%,MS-503,,,,,,9.60%,
10%,NJ-513,,,,9.60%,,,
10%,PA-502,,,,,9.60%,,
10%,NY-520,,,,,,9.60%,
10%,CA-514,,9.70%,,,,,
10%,MA-510,,,9.70%,,,,
10%,MN-504,,,9.70%,,,,
10%,WA-504,9.70%,,,,,,
10%,CA-530,,,9.70%,,,,
10%,NJ-513,,,,,9.70%,,
10%,NC-513,,9.70%,,,,,
10%,FL-513,9.70%,,,,,,
10%,MN-505,,9.70%,,,,,
10%,PA-509,,,,,,,9.70%
10%,VA-513,,,,,,9.70%,
10%,MD-502,,9.70%,,,,,
10%,MO-602,,,,9.70%,,,
10%,OR-505,,,,,,,9.80%
10%,NC-511,9.80%,,,,,,
10%,NY-501,,,9.80%,,,,
10%,KS-503,,,,,,,9.80%
10%,GA-504,,,,,,,9.80%
10%,FL-515,,,,,,,9.80%
10%,CA-510,,9.80%,,,,,
10%,OK-507,,,,9.90%,,,
10%,WA-501,,,,9.90%,,,
10%,NJ-510,,,,,9.90%,,
10%,PA-501,,,,,,,9.90%
10%,TN-512,9.90%,,,,,,
10%,MA-504,,,,9.90%,,,
10%,OK-507,,,,,,9.90%,
10%,MA-503,,,10.00%,,,,
10%,NY-518,,,10.00%,,,,
10%,CA-611,,10.00%,,,,,
10%,CA-526,,10.00%,,,,,
10%,FL-505,,,10.00%,,,,
10%,KS-505,,,,,,10.00%,
10%,MD-600,,,,10.00%,,,
10%,CA-501,,,10.00%,,,,
10%,CA-518,,,,,10.00%,,
10%,VA-507,,,10.00%,,,,
10%,NJ-514,,,,,,10.00%,
10%,ID-500,,10.00%,,,,,
10%,MN-508,,,,,,,10.10%
10%,NH-501,,,,,,,10.10%
10%,MN-502,,,,,10.10%,,
10%,TN-506,,,,,,,10.10%
10%,MS-503,,,,,10.10%,,
10%,MD-504,,,10.10%,,,,
10%,MO-606,10.10%,,,,,,
10%,MO-604M,,,,,,,10.20%
10%,OR-505,,,,10.20%,,,
10%,FL-520,,,,,10.20%,,
10%,CA-602,,,10.20%,,,,
10%,NJ-504,,,10.20%,,,,
10%,OH-508,10.20%,,,,,,
10%,NY-522,10.20%,,,,,,
10%,MD-600,,10.20%,,,,,
10%,ID-500,,,,,,10.30%,
10%,NJ-500,,10.30%,,,,,
10%,NY-604,10.30%,,,,,,
10%,NJ-513,,,,,,,10.30%
10%,MN-508,,,,,,10.30%,
10%,VA-505,,10.30%,,,,,
10%,WA-504,,10.30%,,,,,
