HUD CoC Number,2019,2020,2021
AK-500,0.491,0.41,0.237
AK-501,0.115,0.893,0.306
AL-500,0.089,0.758,0
AL-501,0.468,1,0.009
AL-502,,0.741,0
AL-503,0.553,0.988,0.466
AL-504,,0.793,0.022
AL-506,,0.003,0
AL-507,,0.284,0.002
AR-500,0,,0.795
AR-501,,0.684,0
AR-503,0.034,0.005,0.019
AR-505,0.051,0.781,0.004
AR-508,,0.603,0
AZ-500,0.031,0.019,0.021
AZ-501,0.68,0.154,0.365
AZ-502,0.103,0.093,0.03
CA-500,0.364,0,0.548
CA-501,0.955,0.2,0.807
CA-502,0.136,0.844,0.003
CA-503,0.592,0.588,0.731
CA-504,0.643,0,0.013
CA-505,0.725,0.082,0.749
CA-506,0,0.205,0.004
CA-507,,0,0.973
CA-508,0.591,0.435,0.704
CA-509,,0.006,0
CA-510,0.35,0,0.439
CA-511,0.993,0.916,0.987
CA-512,0.815,0.786,0.751
CA-513,0.176,0,0.289
CA-514,0.044,0.153,0
CA-515,0,,0.091
CA-516,,,0.699
CA-517,0.472,0.143,0.408
CA-518,,0.25,0
CA-519,0.667,0.188,0.018
CA-520,0,0.37,0.056
CA-521,0.415,0.3,0.644
CA-522,0.631,0.068,0.046
CA-523,,,0.667
CA-524,0.109,0.781,0
CA-525,0.377,0.014,0.497
CA-526,,0.064,0
CA-527,0,0.022,
CA-529,,0.19,0
CA-530,0,0.02,0.465
CA-531,0,0.6,0.015
CA-600,0.702,0.636,0.669
CA-601,0.324,,0.592
CA-602,0.591,0.112,0.535
CA-603,0.003,0.132,0.028
CA-604,0.029,0.568,0.004
CA-606,0.038,0.436,0
CA-607,0.171,0.068,0.16
CA-608,0.604,0,0.114
CA-609,0,0.263,0.01
CA-611,0.018,0.192,0.037
CA-612,0,,0.019
CA-613,,0.451,0.787
CA-614,0,0,0
CO-500,0.793,0.353,0.167
CO-503,0.881,0.358,0.64
CO-504,0.462,0.077,0.492
CO-505,0.125,0.048,0.547
CT-503,0.064,0.408,0.093
CT-505,0.3,,0.176
DC-500,0.053,0.2,0.333
DE-500,,0.647,0
FL-500,0.125,0.456,0.01
FL-501,0,0.376,0.023
FL-502,0.006,0.534,0.164
FL-503,0,0.488,0.026
FL-504,0.525,0.29,0.029
FL-505,0.401,,0.068
FL-506,0.005,0.329,0.146
FL-507,0.127,,0.056
FL-508,0.049,,0
FL-509,0.269,,0.036
FL-510,0.555,0.143,0.211
FL-511,0.026,0.111,0.136
FL-512,0,0.322,0
FL-513,0.31,,0.009
FL-514,0,,0.109
FL-515,0,0.864,0.368
FL-517,,0.06,0.867
FL-518,0.31,0.007,0.4
FL-519,0,0.437,0.021
FL-520,0.803,0.106,0.626
FL-600,0.031,0,0.061
FL-601,0.001,0.038,0
FL-602,0,0.339,0.067
FL-603,0.106,0.436,0.114
FL-604,0,0.094,0
FL-605,0.406,0.191,0.527
FL-606,0.071,0.333,0
GA-500,0.211,0.028,0.096
GA-501,0.029,0.485,0.013
GA-502,,0.315,0
GA-503,,0.19,0
GA-504,0.15,0.988,
GA-505,,0.92,0
GA-506,0.12,0.94,0.067
GA-507,0.027,0.011,0.004
GA-508,0,0.122,0.435
GU-500,,0.473,0.5
HI-500,0.032,0.166,0.017
HI-501,0.013,0.47,0.401
IA-500,0,0.022,0.196
IA-501,0.02,0.263,0.107
IA-502,0.304,0.032,0.078
ID-500,0.026,0,0.554
ID-501,0.384,,0.5
IL-500,,,0.8
IL-501,,0.049,0.191
IL-502,0.07,0.035,0.059
IL-506,,,0
IL-507,0.043,0.085,0.122
IL-510,0.044,0.127,0.096
IL-511,0.158,0.159,0.124
IL-512,0,0.068,0.224
IL-513,0.105,0.344,0.083
IL-514,0.267,0.096,0.22
IL-516,0.721,0.746,0.642
IL-517,,0.025,0.017
IL-518,,,0.221
IL-519,,,0
IL-520,,,0
IN-502,0.447,0.252,0.419
IN-503,0.659,0.684,0.443
KS-502,0.128,0.138,0.34
KS-505,0,0,0.015
KS-507,0.152,,0.268
KY-500,,,0.027
KY-501,0.049,0.067,0.024
KY-502,0.258,0.116,0.009
LA-500,0.29,0.195,0.147
LA-502,0.5,0.049,0.079
LA-503,0.003,0.012,0.054
LA-505,0,0,0
LA-506,0,0,0
LA-507,0.338,0.398,0.003
LA-509,0.1,0.502,0.13
MA-500,0.229,0.529,0.794
MA-502,0.333,0,1
MA-503,0.165,0.419,0.083
MA-504,0.253,0.25,0
MA-505,,,0.333
MA-506,0.457,0.37,0.502
MA-507,0.4,0,0.429
MA-509,0.156,0.068,0.273
MA-511,0.241,0.077,0.349
MA-515,,,0.214
MA-516,0.705,0.381,0.769
MD-501,0.376,0.237,0.287
MD-502,0.014,0,
MD-503,0.08,0.27,0.296
MD-504,0.111,,0.022
MD-505,,0,0
MD-506,0.549,0.419,0
MD-508,0.048,,
MD-509,0.102,1,1
MD-511,0.588,0,0.156
MD-512,0.746,,
MD-513,0.011,0.006,0
MD-514,,0.641,0.416
MD-600,0.043,0,0
MD-601,0.209,0.214,0.021
ME-500,0.106,0.179,0.065
MI-500,0,0.015,0.104
MI-501,0.02,0.348,0.027
MI-502,0,0,0.054
MI-503,0,0,
MI-504,0.043,0.043,0
MI-505,0,0.119,0
MI-506,0.037,0.008,0
MI-507,0,0,0
MI-508,0.058,0.06,0.128
MI-509,0.013,0.18,0.152
MI-512,0,0,0.126
MI-514,,0,0
MI-516,0,0,0
MI-517,0,0.164,0.116
MI-519,0.444,0.077,0.577
MI-523,0,0,0
MN-500,0.149,0.064,0.248
MN-501,0.147,0.018,0.089
MN-502,0.429,0.174,0.221
MN-503,0.275,0.02,0.054
MN-505,0.436,0.545,0.125
MN-506,0.25,0.636,0.292
MN-508,0.783,,
MN-509,0,0.357,0.257
MO-500,0.149,0.112,0.007
MO-501,0.121,0.134,0.026
MO-503,0.44,0.691,0.661
MO-600,0.13,0.436,0.154
MO-602,0.018,0.068,0.011
MO-603,0,0,0.239
MO-604M,0.295,0.727,0.677
MO-606,0.391,0.243,0.066
MS-500,0.043,0.901,0.187
MS-501,0.06,0.031,0.192
MS-503,0.02,0.172,0.085
MT-500,0,0,0.458
NC-500,0,0.022,0.087
NC-501,0.02,0.076,0.259
NC-502,0.37,0.154,0.054
NC-503,0.057,0.064,0.036
NC-504,0.037,0,0.035
NC-505,0.105,0.012,0.026
NC-506,0.148,0.037,0.648
NC-507,0.074,0.084,0.355
NC-509,,,0.038
NC-511,,,0.736
NC-513,,,0.103
NC-516,,,0
ND-500,0.09,0.451,0.425
NE-500,0.167,0,
NE-501,0.74,0.353,0.17
NE-502,0.673,0.457,0.548
NH-500,0.315,0.198,0.101
NH-501,0.797,0.103,0.143
NH-502,0,0,0.455
NJ-500,0,0.077,0
NJ-501,,,0.167
NJ-502,0.667,1,
NJ-503,0.673,0.531,0.419
NJ-504,0.321,0.5,0.4
NJ-506,0.15,0,0.231
NJ-507,0.086,0.048,0.092
NJ-508,0.463,0.222,0.188
NJ-509,0.368,0.25,0.231
NJ-510,0.571,0.769,0.846
NJ-511,0.349,0.409,0.314
NJ-513,0.333,0.429,
NJ-514,0.438,0.578,0.088
NJ-515,0.4,0.1,0.471
NJ-516,0.222,0.2,0
NM-500,0.009,0.411,0.506
NM-501,0.591,0.016,0.021
NV-500,0.793,0.644,0.849
NV-501,0.319,0.456,0.199
NV-502,0.353,0.376,0.17
NY-500,0.107,0.016,0.072
NY-501,0.75,0.5,
NY-503,0.939,0.63,0.633
NY-505,0.331,0.238,0.035
NY-507,,,1.926
NY-508,0.313,0.308,0.168
NY-511,,0,0
NY-512,0.129,0.263,0.389
NY-514,,0,0.224
NY-516,0.2,,
NY-518,0.7,0.33,0.102
NY-523,0.462,,0.163
NY-525,0.438,0,0.231
NY-600,0.483,0.323,0.441
NY-602,0,,
NY-603,0,0.491,0.07
NY-604,0,0.892,0.845
NY-608,,,0.603
OH-500,0.42,0.492,0.482
OH-501,0.796,0.021,
OH-502,0.114,0.06,0.072
OH-503,0.027,0.021,0.005
OH-504,0.173,0.461,0.448
OH-505,0.232,0.295,0.188
OH-506,0.452,0.143,0.129
OH-507,0.056,0.106,0.099
OH-508,0,0.211,0.068
OK-500,,0,0
OK-501,0.976,0.747,0.772
OK-502,0.667,0.143,0.382
OK-503,0.167,0.038,0
OK-505,0,,0
OK-506,,,0.018
OK-507,1,0,0
OR-500,0.862,0.856,0.689
OR-501,0.364,0.032,0.621
OR-502,0.096,0.014,0
OR-503,0.054,0.016,0.015
OR-504,,0,0
OR-505,0,0.045,0.001
OR-506,0.168,0.002,0.009
OR-507,,,0
PA-500,0.992,0.975,0.902
PA-501,0,0,0.039
PA-502,0,,0.19
PA-503,,,0.179
PA-504,0.444,0.341,0.32
PA-505,,,0.007
PA-506,0.16,0,0
PA-508,0,0.5,0
PA-509,0.126,0.411,0.194
PA-510,0,0.158,0
PA-511,0.156,0.377,0.296
PA-512,,,0
PA-600,0.594,0.173,0.205
PA-601,0.121,0.2,0.101
PA-603,,,0.051
PA-605,0,0,
PR-502,0.03,0.01,0.003
PR-503,0.071,0.052,0.029
RI-500,0.446,0.439,0.095
SC-500,0.265,0.163,0.215
SC-501,0,0,0.024
SC-502,0.556,0.021,0.049
SC-503,0.268,0.161,0.29
SD-500,0,0,0.517
TN-500,,0,0.826
TN-501,0.11,0.179,0.06
TN-502,0.126,0.09,0.149
TN-503,,,0
TN-504,0.548,0.277,0.148
TN-506,0.811,0,0.333
TN-507,0.269,0.196,0.087
TN-509,,,0.029
TN-510,1,0.333,0.031
TN-512,0.289,0.116,0.27
TX-500,0.01,0.028,0.019
TX-503,0.35,0,0.003
TX-600,0.162,0.56,0.643
TX-601,0.535,0.315,0.438
TX-603,0.251,0.179,0.194
TX-604,0.193,0.257,0.247
TX-607,0.16,0.513,0.5
TX-611,,0,0
TX-700,0.142,0.01,0.132
UT-500,0.975,0.991,0.88
UT-503,0.883,0.934,0.929
UT-504,0.878,0.94,0.756
VA-500,0.105,0.061,0.141
VA-501,0.051,0,0.06
VA-502,0.111,0.518,0.036
VA-503,0.289,0.101,0.146
VA-505,0,0,0.025
VA-507,0.231,0.178,0.167
VA-508,0.206,0.122,0.141
VA-513,0.25,0.171,0.205
VA-514,0.116,0.194,0.132
VA-521,0,0,0.058
VA-600,0.101,0.056,0
VA-601,0.127,0.394,0.363
VA-602,0,0.31,0.263
VA-603,0,0,0
VA-604,0.318,0.198,0.538
VI-500,,0,0
VT-500,0.106,0.124,0.096
VT-501,0.294,,0
WA-500,0.299,0.168,0.192
WA-501,0.598,0.493,0.41
WA-502,0.321,0.138,0.351
WA-503,0.51,0.216,0.446
WA-504,0.054,0.481,0.155
WA-508,0.391,0.004,0.159
WI-500,0.101,0.206,0.274
WI-501,0.656,0.614,0.396
WI-502,0.158,0.118,0.31
WI-503,0.396,0.394,0.748
WV-500,0,0.008,0.047
WV-501,0.028,0,0
WV-503,0.098,0,0.04
WV-508,0.247,0.082,0.158
WY-500,0.067,0.026,0.038
