HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
AK-500,0.011,0.301,0.393,0.167,0.177,0.312,0.021
AK-501,,0.042,0.048,0.039,0.172,0.471,0.193
AL-500,0.427,0.598,0.276,0.353,0.305,0.374,0.342
AL-501,0.203,0.387,0.438,0.4,0.267,0.615,0.5
AL-502,,,,,,1,1
AL-503,0.714,0.7,0.534,0.148,0.216,0.083,0.167
AL-504,0.839,0.963,0.2,0.385,0.944,0.75,0.591
AL-505,,,,,,,
AL-506,,,,,,,0
AL-507,,1,0.772,,,,0.852
AR-500,,,,0.55,0.515,0.226,0.333
AR-501,,,,0.256,0,0.636,0.8
AR-503,,,,,0.29,0.231,0.25
AR-505,,,,,0.408,1,0.991
AR-508,,,,,,,
AR-512,,,,,,,
AZ-500,0.4,0.322,0.261,0.105,0.24,0.486,0.57
AZ-501,0.402,0.184,0.271,0.338,0.318,0.352,0.401
AZ-502,0.176,0.25,0.365,0.349,0.353,0.357,0.398
CA-500,0.067,0.37,0.133,0.23,0.371,0.343,0.327
CA-501,,,0.01,0.042,0.037,0.066,0.075
CA-502,0.397,0.425,0.389,0.378,0.308,0.178,0.468
CA-503,0.856,0.309,0.204,0.289,0.304,0.192,0.221
CA-504,,,,0.681,1,0.392,0.487
CA-505,0.3,0.442,0.324,0.372,0.279,0.314,0.235
CA-506,0.232,0.287,0.399,0.329,0.259,0.25,0.375
CA-507,,,,,,0,0.014
CA-508,,0.24,,0.361,0.091,0.13,0.144
CA-509,,,,,,,1
CA-510,,1,0.205,0.135,0.417,0.364,0.228
CA-511,0.216,0.105,0.039,0.02,0.004,0.01,0.011
CA-512,1,0.551,0.299,0.225,0.137,0.132,0.165
CA-513,0.477,0.316,0.449,0.616,0.506,0.481,0.501
CA-514,0.669,0.569,0.157,0.31,0.302,0.172,0.334
CA-515,0.682,0.565,0.197,0.647,0.55,0.465,0.706
CA-516,0,0.407,0.271,,0,0.156,0.474
CA-517,0.918,0.874,0.547,0.419,0.488,0.599,0.449
CA-518,0.316,,,,,,0.316
CA-519,,,,0.79,0.333,0.172,0.018
CA-520,,,0.491,0.816,0.487,,0.365
CA-521,,0.8,0.8,0.479,0.447,0.222,0.12
