HUD CoC Number,2019,2020,2021
AK-500,0.014,0.144,0.19
AK-501,0.127,0.124,0.093
AL-500,0.016,0.083,0.015
AL-501,0.022,0.077,0.021
AL-502,,0.112,
AL-503,0.034,0.168,0.128
AL-504,0.722,0.035,
AL-505,,,0
AL-506,0.276,0.035,0.242
AL-507,0,0.045,0
AR-500,0.48,0.031,0.38
AR-501,0,0.156,0.043
AR-503,0.641,0.082,0
AR-505,0,0.17,0
AR-508,0,0.077,0.933
AZ-500,0.064,0.123,0.008
AZ-501,0.054,0.086,0.03
AZ-502,0.111,0.014,0.171
CA-500,0.151,0.214,0.136
CA-501,0.105,,0.134
CA-502,0.044,0.233,0.013
CA-503,0.034,0.123,0.071
CA-504,0.042,,0.083
CA-505,0.725,0.034,0.158
CA-506,0.035,0.096,0.063
CA-507,0,0.111,0.045
CA-508,0.052,0.018,0
CA-509,0.115,0.066,0.096
CA-510,0.498,0,0.264
CA-511,0.171,0.301,0.144
CA-512,0.033,0.2,0.024
CA-513,0.04,0.368,0.041
CA-514,0.064,0.013,0.031
CA-515,0.037,0,0.121
CA-516,0.379,0,0.057
CA-517,0.115,0.062,0.28
CA-518,0.025,0.25,0.063
CA-519,0.021,0.018,0.008
CA-520,0.241,0.091,0
CA-521,0,0.202,0.333
CA-522,0.121,0.222,0.027
CA-523,0,,0
CA-524,,0.126,0
CA-525,0,0.016,0
CA-526,0,0.066,0
CA-527,0.038,0.018,0
CA-529,,0.05,0.137
CA-530,,0.081,0
CA-531,0,0.11,0
CA-600,0.16,0,0.159
CA-601,0.103,0,0.039
CA-602,0.072,0.03,0.113
CA-603,0,0.047,0
CA-604,0.26,0.032,0.107
CA-606,0.147,0.017,0.222
CA-607,0.113,0.025,0.455
CA-608,0.01,0.466,0.017
CA-609,0.007,0.038,0.025
CA-611,0.063,0.073,0.061
CA-612,0.069,0.293,
CA-613,,0.044,0
CA-614,,0.148,1.667
CO-500,0.015,0.083,0.044
CO-503,0.295,0.092,0.163
CO-504,0.104,0.043,0.045
CO-505,,0,0
CT-503,0.103,0,0.111
CT-505,0.054,0,0.102
DC-500,0.082,0.112,0.111
DE-500,0.04,0.111,0.011
FL-500,0.112,0.201,0.145
FL-501,0.165,0,0.058
FL-502,0.086,0.041,0.055
FL-503,0.186,0.008,0.179
FL-504,0.039,0.071,0.045
FL-505,,0.053,
FL-506,0.062,0,0
FL-507,0.066,,0.079
FL-508,0,,0
FL-509,0.014,0.08,0
FL-510,0.12,0.038,0.176
FL-511,0.03,0.112,0.063
FL-512,0,0.103,0
FL-513,0.074,0.015,0
FL-514,0.093,,0.112
FL-515,0.038,0,0.027
FL-517,0.245,0.005,0
FL-518,0.031,0,0.029
FL-519,0,0,0.2
FL-520,0.323,0.021,0.271
FL-600,0.012,0.333,0.013
FL-601,0.021,0.181,0.041
FL-602,0,0,0
FL-603,,0.14,
FL-604,0.123,0.185,0.049
FL-605,0.053,0.006,0.086
FL-606,0,0.045,0
GA-500,0.299,0.005,0.218
GA-501,0.184,0.137,0.098
GA-502,0.216,0.256,0.214
